,d
0,-0.290224524170694
1,-0.2954801481084633
2,-0.29053733830205836
3,-0.28428732334573925
4,-0.2959714709202866
5,-0.29387737370152
6,-0.29519921417503114
7,-0.29745251595155187
8,-0.2994092637750177
9,-0.29604129705802257
10,-0.29457834670127436
11,-0.3029795354047347
12,-0.29892820763124406
13,-0.306117393323681
14,-0.30205927943162647
15,-0.29454828883050727
16,-0.2928199432713959
17,-0.299418782064622
18,-0.29837750691914006
19,-0.29379037202553326
20,-0.2908284714570091
21,-0.2937043294455989
22,-0.29142790015816017
23,-0.2968853680048745
24,-0.29662148588089227
25,-0.29110121679615875
26,-0.2877510654709111
27,-0.2973430528318749
28,-0.29423111027730786
29,-0.29384555852847005
30,-0.2952472717637924
31,-0.28973250649671484
32,-0.29041790109371696
33,-0.2934350103069307
34,-0.2882277650749308
35,-0.2819311280751405
36,-0.28801796037456995
37,-0.286227789717821
38,-0.28969730696378015
39,-0.29083749801961
40,-0.2857205153903333
41,-0.2947157818614436
42,-0.2921461239663619
43,-0.29219520179959174
44,-0.2861196108484115
45,-0.28710376151894224
46,-0.28891496490291024
47,-0.28985965837765204
48,-0.289500294082546
49,-0.2849711673538415
50,-0.2873588216822147
51,-0.29071462762400885
52,-0.29134461314476046
53,-0.2950945938070393
54,-0.29415419497834433
55,-0.29217659451105354
56,-0.28695853722783293
57,-0.2811955662753651
58,-0.2798593025042457
59,-0.2865055505317321
60,-0.28781455351952173
61,-0.29095678390570806
62,-0.2928855503398623
63,-0.2910249465784569
64,-0.2936924714784071
65,-0.3009730494221929
66,-0.2943989606601738
67,-0.2929970728952746
68,-0.29312118742776916
69,-0.3008764199413766
70,-0.3017949282131608
71,-0.29981490787610693
72,-0.2912768713828796
73,-0.2935835787050694
74,-0.2936732333605299
75,-0.29509924272927546
76,-0.3030996956118963
77,-0.3073920206753432
78,-0.3102980595694724
79,-0.30970088442180665
80,-0.31146203957751856
81,-0.3189455063346834
82,-0.3199179797459029
83,-0.3191114744005362
84,-0.3180810709527843
85,-0.3210683259080372
86,-0.32506239400931836
87,-0.3247086310159425
88,-0.3306003459436521
89,-0.3305637850722286
90,-0.3274082873614613
91,-0.3322876295552442
92,-0.3350500174686977
93,-0.3371111484534316
94,-0.33931507008703077
95,-0.34474896252830006
96,-0.3434859067626173
97,-0.34990006639999083
98,-0.3496139131057905
99,-0.34882058860981524
100,-0.3494079335459009
101,-0.3518562773043329
102,-0.35717693043999144
103,-0.35681138269495455
104,-0.35899976737914885
105,-0.36432067124048206
106,-0.36549257750124975
107,-0.36406923246082334
108,-0.3645179098977339
109,-0.36507696358375485
110,-0.35814625452099025
111,-0.3659508001446635
112,-0.36883572865112174
113,-0.3759806654317138
114,-0.37972200652964144
115,-0.3776954382464388
116,-0.37897907335358394
117,-0.38126891042639116
118,-0.3832974455911816
119,-0.37889359918811405
120,-0.37949158367527575
121,-0.38331460992682365
122,-0.3871349516389822
123,-0.37890113565614014
124,-0.38308931897054105
125,-0.38996222097114364
126,-0.3876005591116636
127,-0.38617881050833597
128,-0.3881039153270823
129,-0.384108533827531
130,-0.3850353445700954
131,-0.3873903851118713
132,-0.39100640096484474
133,-0.3962270364125442
134,-0.3915137033151467
135,-0.3907285241055225
136,-0.3923093203525941
137,-0.3988510994579179
138,-0.39854497537393646
139,-0.3951028562136988
140,-0.39370666873512017
141,-0.3949728657935662
142,-0.39430154612328483
143,-0.3926167306677945
144,-0.3863547560402065
145,-0.38673973055149735
146,-0.38676668561082544
147,-0.38834338566822174
148,-0.38775157075678024
149,-0.38763822971152656
150,-0.3850976250119889
151,-0.39104946865815404
152,-0.3852098595527668
153,-0.3843083829890402
154,-0.3848452295642847
155,-0.3814370106972494
156,-0.38256037354318306
157,-0.38863924024783647
158,-0.38823564611067335
159,-0.3907983480258645
160,-0.3864904819414324
161,-0.3890850903360401
162,-0.3851066675241304
163,-0.3872482214629691
164,-0.3916176644328081
165,-0.3862743889727773
166,-0.38177146314661753
167,-0.3857600636900003
168,-0.3841472833143855
169,-0.38210225675092974
170,-0.3853600765359071
171,-0.3866767109722875
172,-0.3859016330097377
173,-0.3785570676576145
174,-0.37974659732175353
175,-0.3823703098316976
176,-0.37713151640466863
177,-0.3712215014973824
178,-0.3687243224260437
179,-0.36793411362285827
180,-0.3725112983883727
181,-0.37330211707188776
182,-0.36855603456464076
183,-0.3715223395688296
184,-0.37549962873424764
185,-0.37123413195578897
186,-0.3671333135964622
187,-0.3631934732915004
188,-0.36320710718887333
189,-0.3650533198537624
190,-0.3647903802295517
191,-0.36248550197055684
192,-0.3621825761472918
193,-0.3596508122088263
194,-0.36341977542378545
195,-0.3663457278687278
196,-0.3718650286043587
197,-0.36946042995749456
198,-0.36700488973324846
199,-0.3662915591049621
200,-0.3695741331697609
201,-0.36948608005935313
202,-0.3737276189261281
203,-0.3756716499596515
204,-0.3733782671813403
205,-0.371272377435529
206,-0.3803159016708485
207,-0.3845113487149975
208,-0.3818105279202837
209,-0.3830702065028087
210,-0.39282061349919545
211,-0.3962858813444776
212,-0.3931661430465265
213,-0.3880882413431217
214,-0.38874840834303426
215,-0.3970181727872334
216,-0.4028643088798775
217,-0.4015778350908766
218,-0.4008828506992722
219,-0.4080042499372178
220,-0.40505562533137546
221,-0.41178101517420374
222,-0.4156854728016012
223,-0.42039229703536163
224,-0.422962628805044
225,-0.4177418357147335
226,-0.4180513093198816
227,-0.42843015104207727
228,-0.42568306401417666
229,-0.4279411167241873
230,-0.4370476355143517
231,-0.43766432482479206
232,-0.4352003626191797
233,-0.43809121086860164
234,-0.4364824943840126
235,-0.44536778014063333
236,-0.45330113347571943
237,-0.4547582876082879
238,-0.4612458338449041
239,-0.46262789638538593
240,-0.4704930299295595
241,-0.47610500665517685
242,-0.47679368358074214
243,-0.4768024013787695
244,-0.48105525963533546
245,-0.48849062832099815
246,-0.49659657071021107
247,-0.5003544090989924
248,-0.5008088716772847
249,-0.5055662192034626
250,-0.5104894488084881
251,-0.5086951875431017
252,-0.511599298378915
253,-0.5193599809161189
254,-0.5281430998049875
255,-0.5260012264278828
256,-0.5302484136999179
257,-0.5424159481052472
