,d
0,-1.449826542868284
1,-1.4494362009331405
2,-1.4479607745170797
3,-1.4457765003007783
4,-1.4459900132367849
5,-1.4457251355705587
6,-1.4461744883465684
7,-1.4474260806208183
8,-1.442890599566544
9,-1.4422212078590266
10,-1.439617253660324
11,-1.438403374145034
12,-1.4406494600452249
13,-1.4388591894104552
14,-1.4362503006110654
15,-1.4343539254654796
16,-1.4344496383410792
17,-1.4363597044200076
18,-1.4338721021561835
19,-1.4317849518651269
20,-1.4317453427236266
21,-1.4322168796962453
22,-1.4285110146803597
23,-1.4249204905442159
24,-1.4235054034138448
25,-1.4236294019946447
26,-1.423390778228656
27,-1.4236937222506791
28,-1.42426995945043
29,-1.422169939339342
30,-1.4172159716535135
31,-1.414744838315387
32,-1.4155772886062878
33,-1.4152642341226283
34,-1.416134204092887
35,-1.4152743987227145
36,-1.4142251496449643
37,-1.4139351453934794
38,-1.4117308992431137
39,-1.4104504433556497
40,-1.4090319692254687
41,-1.4078903181838371
42,-1.406454525012426
43,-1.405323946877636
44,-1.4037013736284525
45,-1.4024431398933075
46,-1.3994446010882378
47,-1.4006470346379962
48,-1.400269816411493
49,-1.3987745123317148
50,-1.3958629062177257
51,-1.3921151182201315
52,-1.3950326189278053
53,-1.3932149899525637
54,-1.3895447019581804
55,-1.3888044911909134
56,-1.3899430637616244
57,-1.389463644112558
58,-1.3862720729211766
59,-1.3847335913658838
60,-1.3821618446604154
61,-1.3819205177446663
62,-1.3816946965775776
63,-1.3831812596587585
64,-1.3814928075521633
65,-1.3797355874313433
66,-1.3794864243442178
67,-1.3794314011559223
68,-1.376642848364834
69,-1.377092442840896
70,-1.3745697921408002
71,-1.372837500267797
72,-1.3738930496528163
73,-1.3741681836842674
74,-1.3716144759376172
75,-1.3678507880836468
76,-1.3684302840041669
77,-1.3663209929847862
78,-1.365818069701927
79,-1.3670730378686626
80,-1.3644934807910998
81,-1.3619882042649771
82,-1.3613676242880441
83,-1.3621646803134857
84,-1.359743346363222
85,-1.3587197334008634
86,-1.3593741069328988
87,-1.3570069066287915
88,-1.355625201733357
89,-1.354235070453125
90,-1.3533702927654327
91,-1.351168925179699
92,-1.3493697401278526
93,-1.3479992254491082
94,-1.3478855581010263
95,-1.3492578653670453
96,-1.3479589671551082
97,-1.3455746329947655
98,-1.3446198270887513
99,-1.344478179905323
100,-1.3447395889399287
101,-1.3427603538980746
102,-1.339152666993207
103,-1.3368079786931244
104,-1.3334386649847678
105,-1.3339345522551997
106,-1.3362518488685955
107,-1.330902490478397
108,-1.331556603936004
109,-1.3290360016043186
110,-1.327441968298673
111,-1.3291466410478694
112,-1.3288437148084946
113,-1.3255617396389092
114,-1.324181950334119
115,-1.3252179480792712
116,-1.3223984611607704
117,-1.3187432576298435
118,-1.3178892839649605
119,-1.321797038876801
120,-1.3211504407937449
121,-1.3186068617248419
122,-1.316320292595288
123,-1.3145791460067702
124,-1.3139704804806631
125,-1.3118891087574776
126,-1.3101388832130196
127,-1.310503838275648
128,-1.309588455017452
129,-1.3093002398391953
130,-1.3076449783921942
131,-1.3040344967877207
132,-1.3026158541923678
133,-1.2981067216674453
134,-1.2948789226076545
135,-1.2981976517178648
136,-1.298354183628477
137,-1.2966994254392619
138,-1.295157565537387
139,-1.295790969553553
140,-1.2925205607197998
141,-1.288437388781352
142,-1.2859871716286526
143,-1.2864949722592278
144,-1.2877609729939956
145,-1.286603572064839
146,-1.2849678645326648
147,-1.286204834788133
148,-1.2840002212887853
149,-1.2823490659440258
150,-1.2808813514372457
151,-1.2784777468360888
152,-1.2800933532662928
153,-1.2801172228779285
154,-1.2786202693071056
155,-1.2774164983873855
156,-1.273975791457861
157,-1.2720540570099528
158,-1.2715625455401292
159,-1.2698257722886725
160,-1.2708955289340251
161,-1.2714745392709397
162,-1.2701975564610664
163,-1.2677889503299697
164,-1.2663213405128269
165,-1.2669521735941958
166,-1.263820766285794
167,-1.2603809973982292
168,-1.2621122824214634
169,-1.260879620915077
170,-1.258187232816253
171,-1.2578550278365057
172,-1.2581645512543198
173,-1.2541206348095062
174,-1.2539926479652608
175,-1.2519167872617194
176,-1.249674133653289
177,-1.24801371444386
178,-1.2489669539142056
179,-1.24774292255627
180,-1.2468117857647791
181,-1.2449802957564378
182,-1.2456244280925488
183,-1.2464718963523485
184,-1.245067159713089
185,-1.242036902605375
186,-1.2424805069341915
187,-1.2425847592301267
188,-1.240420007867422
189,-1.2387118521129856
190,-1.2374972251245417
191,-1.2381086550353195
192,-1.234881864854971
193,-1.2326529649727112
194,-1.2337470089577984
195,-1.2312629576907175
196,-1.2294159197493835
197,-1.2295751296693371
198,-1.230872729846542
199,-1.2285138418288684
200,-1.2251749233876994
201,-1.2265884225580879
202,-1.2250606005899547
203,-1.2234662649774768
204,-1.220975763852125
205,-1.2220494020040595
206,-1.2218225327439143
207,-1.2243942931509917
208,-1.223621033777996
209,-1.2212462615274167
210,-1.2207703757168777
211,-1.2196181194306541
212,-1.2211064950751196
213,-1.2184823771428415
214,-1.21267264413604
215,-1.2157169569266173
216,-1.2169155540798136
217,-1.2164641212172724
218,-1.2157376522222225
219,-1.214536025585541
220,-1.2132690567469715
221,-1.2106833121103187
222,-1.2103976425709686
223,-1.2093244370699145
224,-1.209237352683857
225,-1.2110290012120406
226,-1.2102539423535115
227,-1.210034731196423
228,-1.2078041222930516
229,-1.2032748525014916
230,-1.2044412701152298
231,-1.2042012996730225
232,-1.203798348551957
233,-1.2032223077004858
234,-1.2010100411974916
235,-1.2006377482567905
236,-1.1999010770610963
237,-1.201149667030582
238,-1.2027565687216824
239,-1.1993089137716495
240,-1.1996258459765097
241,-1.1978088337034023
242,-1.1950614419704997
243,-1.1959665907836123
244,-1.1974233357524215
245,-1.1971233754793489
246,-1.1941661474205312
247,-1.1916989886674965
248,-1.1915184644534786
249,-1.1904232947163425
250,-1.1889494933755087
251,-1.1867588633341324
252,-1.1859114150648877
253,-1.187893685495179
254,-1.187548349863994
255,-1.183524490836833
256,-1.1846503476226131
257,-1.1829631563467593
258,-1.183922568941439
259,-1.1823732910266267
260,-1.180343547414978
261,-1.1808702286523869
262,-1.178491143409723
263,-1.1777995926512745
264,-1.1765323321282948
265,-1.1756773393680573
266,-1.1740556626085759
267,-1.1748809368302342
268,-1.1753450206815828
269,-1.1744932487959416
270,-1.1722454879622193
271,-1.1679606805987859
272,-1.1692201978881367
273,-1.1726354281667037
274,-1.172240948853699
275,-1.1694393716318574
276,-1.1674309993512932
277,-1.165914326438818
278,-1.164015057880514
279,-1.1598456025342225
280,-1.1604992450898275
281,-1.159094163173419
282,-1.1604200756876013
283,-1.1616588566466968
284,-1.161678434505668
285,-1.159300094694652
