,d
0,-0.135169926332675
1,-0.14160945913671522
2,-0.14638029638532835
3,-0.14921502471590195
4,-0.14682225650668013
5,-0.15022790506339698
6,-0.149639628301651
7,-0.1509608759940479
8,-0.15329231826118475
9,-0.15263927649715578
10,-0.15414263081891086
11,-0.15017289120503657
12,-0.1543046774431172
13,-0.15234045584918812
14,-0.15171499185050466
15,-0.15422575303618258
16,-0.158976272581165
17,-0.1592598228998715
18,-0.1569436600456028
19,-0.15449864365934204
20,-0.15504078063282448
21,-0.15591298332932538
22,-0.15057042947232632
23,-0.1546114815037185
24,-0.16038245757968853
25,-0.15757549557780914
26,-0.15586646802534002
27,-0.15885208316729982
28,-0.15598293635884947
29,-0.15265156135916466
30,-0.15116786177325064
31,-0.15050904932465023
32,-0.1534260385454896
33,-0.148518490185414
34,-0.14949608193824127
35,-0.1567416004781333
36,-0.15686617980523496
37,-0.15604536461634647
38,-0.15586698705341767
39,-0.15684524073310213
40,-0.15732478665172603
41,-0.15948388145134282
42,-0.15725435833770282
43,-0.15714115890622463
44,-0.16163360416563768
45,-0.15852955207847336
46,-0.15754016914968066
47,-0.1602207711739176
48,-0.165295801768298
49,-0.17125024368772054
50,-0.17120169873766794
51,-0.16815773133513792
52,-0.1732599523451778
53,-0.1713138788838075
54,-0.16796192782760178
55,-0.17561011873171586
56,-0.17654916667908307
57,-0.17891065191818917
58,-0.17779297803310104
59,-0.171667272406896
60,-0.17188330006378588
61,-0.18196568124773396
62,-0.1769469782089717
63,-0.17121252127176295
64,-0.17358448089048173
65,-0.1762779061552867
66,-0.1829128797969379
67,-0.1789183104094036
68,-0.1768186975324581
69,-0.18288947805239633
70,-0.1801715283627424
71,-0.18211695299169775
72,-0.17494826281604858
73,-0.17525203050062152
74,-0.18088496511447422
75,-0.1854478990311439
76,-0.18555442610894934
77,-0.18626237427719036
78,-0.18373625680780364
79,-0.1838741714201146
80,-0.18606738803039374
81,-0.1898365669473039
82,-0.1892233406004436
83,-0.19101899989909424
84,-0.19068059333631593
85,-0.19317828178086316
86,-0.1895661764379771
87,-0.1937028790751437
88,-0.19071376866508677
89,-0.18968748185129297
90,-0.18803430743404248
91,-0.19397198105769423
92,-0.19365325938882066
93,-0.1894369813271791
94,-0.18327589562943558
95,-0.18591256087012048
96,-0.1916180256597493
97,-0.19313897208505976
98,-0.195631853820721
99,-0.19937798535362397
100,-0.20044428718820448
101,-0.19613655742228028
102,-0.20222894523702634
103,-0.2114243014741841
104,-0.2060615734042021
105,-0.2034138340772686
106,-0.2067295511905471
107,-0.20813630240421768
108,-0.20308706580160932
109,-0.19999225107496635
110,-0.20368633661841629
111,-0.20606336401664796
112,-0.20435760025131272
113,-0.20469475484797672
114,-0.20510238601764416
115,-0.196893711507581
116,-0.2019717914245825
117,-0.20002324143176678
118,-0.1968691263933427
119,-0.19910299719355148
120,-0.20350145741113243
121,-0.20600801789084763
122,-0.20681504266851983
123,-0.20840267400563084
124,-0.20523850009866837
125,-0.2043175824536494
126,-0.20602560129766953
127,-0.20600870113846026
128,-0.20836471833122747
129,-0.20944897820817623
130,-0.21012774807508763
131,-0.20721986111365637
132,-0.20569536318430504
133,-0.20176347070140865
134,-0.20003004066833605
135,-0.20136023005542847
136,-0.2009309975462472
137,-0.2058405606921994
138,-0.2018315867120874
139,-0.20312264066144028
140,-0.20513733208679813
141,-0.1995677610344235
142,-0.2017398821430738
143,-0.2070241683816078
144,-0.21179643841118354
145,-0.2050420773642221
146,-0.20304984490949213
147,-0.20572629451608176
148,-0.20880110888016276
149,-0.20773199817699622
150,-0.210080284387464
151,-0.20639943445502265
152,-0.20893767743067074
153,-0.2176390564584818
154,-0.21346639236325024
155,-0.21991839806660796
156,-0.2190355099469431
157,-0.2146134501714751
158,-0.21214115341166456
159,-0.20914853657589988
160,-0.20722738117631678
161,-0.2104146140683289
162,-0.21775149768698232
163,-0.21451921103752455
164,-0.215226233597208
165,-0.21457627236993343
166,-0.21505201746888372
167,-0.219807328421359
168,-0.21594057354030693
169,-0.21111048949612465
170,-0.21499576168223375
171,-0.21223634027308216
172,-0.2125451035430731
173,-0.21617960853422127
174,-0.20854788398347834
175,-0.20124512150523516
176,-0.20400999267206346
177,-0.2074609921501452
178,-0.20689054774146418
179,-0.20697851712999205
180,-0.20166200617263766
181,-0.1995962631005604
182,-0.19782273090429214
183,-0.2056111283117606
184,-0.20950583729186445
185,-0.20947127246573263
186,-0.20184342451517076
187,-0.2003823538509443
188,-0.19320079433904688
189,-0.1984075307525489
190,-0.1981511784061494
191,-0.19093054905122794
