Unnamed: 0,d,mean
0,-0.0670092007627326,-0.0670092007627326
200,-0.0530686172641053,-0.0530686172641053
400,-0.0948554309120051,-0.0948554309120051
600,-0.2286155892146196,-0.2286155892146196
800,-0.2695135013020634,-0.2695135013020634
1000,-0.2336724511995709,-0.2336724511995709
1200,-0.4054024283812614,-0.4054024283812614
1400,-0.4744665929438002,-0.4744665929438002
1600,-0.5475520367216865,-0.5475520367216865
1800,-0.6272951244171106,-0.6272951244171106
2000,-0.6625494102227704,-0.6625494102227704
2200,-0.7473383548754281,-0.7473383548754281
2400,-0.8963508280655891,-0.8963508280655891
2600,-1.0059865068295208,-1.0059865068295208
2800,-1.0607263753300598,-1.0607263753300598
3000,-0.9935656273148016,-0.9935656273148016
3200,-0.9848667818072432,-0.9848667818072432
3400,-0.7655137023611458,-0.7655137023611458
3600,-0.4912220074202702,-0.4912220074202702
3800,-0.2456069155106818,-0.2456069155106818
4000,0.0940305981187041,0.0940305981187041
4200,0.4556591353686665,0.4556591353686665
4400,0.7884827066839019,0.7884827066839019
4600,1.0774491195851896,1.0774491195851896
4800,1.0854172585420443,1.0854172585420443
5000,1.454693172389496,1.454693172389496
5200,1.6259913574107354,1.6259913574107354
5400,1.820991709952818,1.820991709952818
5600,1.836399646308901,1.836399646308901
5800,1.9859777514461063,1.9859777514461063
6000,1.985626312506397,1.985626312506397
6200,1.9203531626912709,1.9203531626912709
6400,1.8065972543380764,1.8065972543380764
6600,1.6254138840622374,1.6254138840622374
6800,1.3870025610110268,1.3870025610110268
7000,1.221446457881359,1.221446457881359
7200,1.050891144983953,1.050891144983953
7400,0.9275187629225824,0.9275187629225824
7600,0.6780125856850758,0.6780125856850758
7800,0.6111576869425374,0.6111576869425374
8000,0.4488596041883407,0.4488596041883407
8200,0.2090798211727703,0.2090798211727703
8400,0.018591882538949,0.018591882538949
8600,-0.1546259514618132,-0.1546259514618132
8800,-0.4126367226708343,-0.4126367226708343
9000,-0.6612298517010828,-0.6612298517010828
9200,-0.7696147911405514,-0.7696147911405514
9400,-0.8189833932732491,-0.8189833932732491
9600,-0.7622991023709376,-0.7622991023709376
9800,-0.8439649300174082,-0.8439649300174082
10000,-0.7769658665032181,-0.7769658665032181
10200,-0.790782411206519,-0.790782411206519
10400,-0.8694305850137594,-0.8694305850137594
10600,-0.9226149296046208,-0.9226149296046208
10800,-0.984035713588433,-0.984035713588433
11000,-1.016785278640149,-1.016785278640149
11200,-1.028858374525835,-1.028858374525835
11400,-0.9883649406129822,-0.9883649406129822
