,d
0,-0.46856758166260865
1,-0.472841052833403
2,-0.46922896541298864
3,-0.4685324769469046
4,-0.47107415171293743
5,-0.47183258655640015
6,-0.4712809213029499
7,-0.47012390739773313
8,-0.4728465455258113
9,-0.47997555486835314
10,-0.47628802501001344
11,-0.4771619500449453
12,-0.47590980397885013
13,-0.47642480547410765
14,-0.47887749018392534
15,-0.4845384149609191
16,-0.48584453066922145
17,-0.4813551443088349
18,-0.47941955047979884
19,-0.48134096747442723
20,-0.4826394460886593
21,-0.4792880247145504
22,-0.47760368247463875
23,-0.48192151957136803
24,-0.4831913493438665
25,-0.4807365490093933
26,-0.48244214232911864
27,-0.4835305294518302
28,-0.4876738621191156
29,-0.4892074160106808
30,-0.48958844570086324
31,-0.490967968680096
32,-0.48827691113443905
33,-0.4817218212774415
34,-0.4830663471167871
35,-0.4920700302550985
36,-0.4895630658667479
37,-0.4910330606910559
38,-0.4914124546496348
39,-0.4875192760725156
40,-0.48594312767468023
41,-0.4914415781941275
42,-0.49440268569426565
43,-0.4951151318582784
44,-0.4926602268422173
45,-0.4882275453957785
46,-0.4927547785073277
47,-0.48752572301710906
48,-0.49092007092670453
49,-0.4898411411144403
50,-0.49283033665266346
51,-0.49296679078987243
52,-0.49645188802764456
53,-0.5000722615115593
54,-0.4958780534165052
55,-0.4946017827209633
56,-0.494945434043592
57,-0.4933072806512352
58,-0.49570610039014823
59,-0.498116780858639
60,-0.5009583127158973
61,-0.5016922928137355
62,-0.5024919810535187
63,-0.5046631924982535
64,-0.503643509500939
65,-0.500853515345682
66,-0.5029476268546397
67,-0.5062377913359847
68,-0.5090193689761725
69,-0.5123979236848133
70,-0.5072361274283997
71,-0.5081572191368835
72,-0.5111415012301874
73,-0.5080639005949852
74,-0.5093546207087174
75,-0.5089387293050248
76,-0.5090448638358523
77,-0.5073813592714967
78,-0.5033366039991429
79,-0.5044955843234542
80,-0.5061521093377631
81,-0.5100443430226952
82,-0.5073659603520769
83,-0.5085800643000702
84,-0.5090740920258444
85,-0.5081389657126227
86,-0.5101429086576564
87,-0.5088267625771962
88,-0.5101822260222727
89,-0.5104067069968261
90,-0.511510341435691
91,-0.5139872748489707
92,-0.5111113805382277
93,-0.5096166673513728
94,-0.5085705863274737
95,-0.5104476150273972
96,-0.5125742878729979
97,-0.514644939663992
98,-0.5185631668994068
99,-0.5185163062547876
100,-0.5194137673789749
101,-0.5215313430210722
102,-0.522636913119075
103,-0.5225896422649895
104,-0.5198678689107057
105,-0.5225546087210432
106,-0.5248874394272485
107,-0.5210206821865735
108,-0.5202138509855633
109,-0.5231850248276361
110,-0.5252343879565636
111,-0.5276087919292703
112,-0.524362261286333
113,-0.5243889097669512
114,-0.525299200567024
115,-0.5266344133151671
116,-0.5286225171321806
117,-0.5312975464056164
118,-0.5321912443570889
119,-0.5297773162007415
120,-0.530414380923372
121,-0.5300057713348197
122,-0.5279941018917684
123,-0.5277554946300724
124,-0.5285588571998246
125,-0.530349408313228
126,-0.52962519040447
127,-0.5281357489891116
128,-0.5317797105119425
129,-0.5320757714169698
130,-0.5331954064028456
131,-0.5356690351764278
132,-0.537175430782359
133,-0.535448890172871
134,-0.5360847490956441
135,-0.5392779329302322
136,-0.5371291064977917
137,-0.5329915980697311
138,-0.5356539486023002
139,-0.538936335087334
140,-0.5393207319751508
141,-0.5359917408676215
142,-0.5365463490603526
143,-0.5387011855414314
144,-0.5410592629821245
145,-0.5444420456722352
146,-0.5439023773078425
147,-0.5404188850502588
148,-0.5406925948775165
149,-0.5388396808901978
150,-0.5367344699518737
