,d
0,1.828429931355078
1,1.8262381835252137
2,1.8259660905784618
3,1.824225579539977
4,1.8222009096043965
5,1.8216955260930168
6,1.8199992626579382
7,1.819275248430284
8,1.8188453094321744
9,1.817667063842133
10,1.8163305005172565
11,1.8157016858550943
12,1.8163779445875767
13,1.81441791810322
14,1.8143182726097686
15,1.8139496312568943
16,1.811577859097367
17,1.81140594267191
18,1.810434992354638
19,1.8089907624608383
20,1.8080497928506822
21,1.807606698285275
22,1.8060117300459368
23,1.8049836561473456
24,1.8041261808235602
25,1.8026217531272373
26,1.8017050072716696
27,1.8014719690517669
28,1.8011136520287647
29,1.7999428147829135
30,1.7980057236257563
31,1.7964707062826146
32,1.7950667273705425
33,1.7940982934488474
34,1.7931495734590595
35,1.7933652749359965
36,1.7919178940281728
37,1.7907481113734025
38,1.7889639319151234
39,1.787660241409924
40,1.7865034685459615
41,1.785931240385988
42,1.785442539773186
43,1.7837924552353634
44,1.779441377989869
45,1.7783872532822786
46,1.7783496316245475
47,1.7757678420076581
48,1.7750636774406712
49,1.7734565064409373
50,1.7726338138203273
51,1.7713733789407262
52,1.769501387409713
53,1.766654683256075
54,1.76519037166772
55,1.765458060304668
56,1.7637266446017468
57,1.7626323316522639
58,1.7610443526998598
59,1.7590921909812305
60,1.7557239565188067
61,1.754921613942673
62,1.7538678615403769
63,1.7522322825813887
64,1.7508833136146427
65,1.7484153655033794
66,1.7475414630565558
67,1.745355473542674
68,1.7435927630007708
69,1.7416781668682177
70,1.7389178492948454
71,1.7377601418924893
72,1.7357028544728053
73,1.7338420854014056
74,1.7320771796846828
75,1.7292482255380115
76,1.7266360546798865
77,1.7262711647161177
78,1.7250078311120467
79,1.7228047937495574
80,1.7211207644303235
81,1.7198979593247978
82,1.717909238158623
83,1.7157568163678414
84,1.7152581064313273
85,1.7112977524229698
86,1.709499010111754
87,1.7076151895950304
88,1.7065645520013677
89,1.7026017774643978
90,1.700221507865699
91,1.6980533382026608
92,1.6964315342189433
93,1.6945481804338247
94,1.6921979570939958
95,1.6892953004478328
96,1.6871180397923198
97,1.6851428064369836
98,1.6834709777868542
99,1.680945380761557
100,1.6789435951932992
101,1.6760444250660982
102,1.6735137387332204
103,1.6711229458228936
104,1.6681481977015553
105,1.6673467633604673
106,1.663268612637196
107,1.661413972828725
108,1.6595685028482763
109,1.6562842876251491
110,1.6534876218426593
111,1.651439191411827
112,1.6499093300440562
113,1.64826213476312
114,1.6455942230939682
115,1.6440258131177372
116,1.6423192845026025
117,1.6403846554073036
118,1.6369405540767108
119,1.6346768134587653
120,1.6325295547386853
121,1.628507708432507
122,1.6260503020086183
123,1.6249506864230367
124,1.6216821060614408
125,1.6191209146937258
126,1.6169960685247207
127,1.6140931075857843
128,1.6117686465744288
129,1.6098960194811542
130,1.607978952521163
131,1.6055561814204962
132,1.6026527476961645
133,1.6006107097248499
134,1.5981864175123686
135,1.5963886646158627
136,1.593549725417313
137,1.5916059504966789
138,1.5892155501904675
139,1.5876116414290844
140,1.5855076158591805
141,1.5819157439738951
142,1.580073355072676
143,1.578317869916326
144,1.5759654881447593
145,1.5728660335707398
146,1.5717170149424713
147,1.5692156359263694
148,1.5656764628139206
149,1.5638091497173638
150,1.5626356754447035
151,1.5600097380731968
152,1.557079181262225
153,1.5559392376261414
154,1.5549544055334648
155,1.5517234170827205
156,1.5481094892859957
157,1.5454796012399366
158,1.5442758089642177
159,1.540967168889224
160,1.5392515400103841
161,1.5372860357311284
162,1.535111080359327
163,1.5331668077672738
164,1.5301588058384916
165,1.5271826005921794
166,1.5261958851199107
167,1.5240627716120343
168,1.520757746008356
169,1.5188908159500045
170,1.5184098135472015
171,1.5159477607028529
172,1.5140838386306728
173,1.5113728941904994
174,1.5102676540907163
175,1.50816199556217
176,1.5058898710426565
177,1.504241913927368
178,1.5025788767654014
179,1.5003029374300632
180,1.4984578986147512
181,1.4967602256726746
182,1.495663039031836
183,1.4938922635624305
184,1.4918995676309028
185,1.490183877162107
186,1.4883918218282035
187,1.4875039941573645
188,1.4857180782723969
189,1.483493559006419
190,1.482353689413817
191,1.4805558031446828
192,1.4799055077771741
193,1.4774827166442293
194,1.4753537957472362
195,1.4730101549181889
196,1.4723690378710312
197,1.4712525988989873
198,1.470038289592623
199,1.4674680615841746
200,1.4655518458351484
201,1.4664038473766987
202,1.4649640316562962
203,1.4641064463231472
204,1.4615890478711322
205,1.460160115182156
206,1.4579400016495145
207,1.458051876705451
208,1.4566792882968653
209,1.4551562253710435
210,1.4539888354418076
211,1.4525417899032476
212,1.451462395772069
213,1.4513675961738677
214,1.4493108896643172
215,1.4469039754223545
216,1.446527520742946
217,1.445575452028614
218,1.4435600304693346
219,1.4412809321515183
220,1.4397284493520788
221,1.4379639184209416
222,1.4382446884314117
223,1.4374082261120205
224,1.4359628729150191
225,1.4342805300710944
226,1.433972305934993
227,1.4318142450457423
228,1.4304859045628775
229,1.428397949453447
230,1.4264304858677943
231,1.426336851334335
232,1.4254203301574913
233,1.4240644650290475
234,1.4233332434923018
235,1.4230065821750564
236,1.4217031663151793
237,1.4199047505570823
238,1.4195166252950016
239,1.4186662006110011
240,1.4177895407223151
241,1.4169421070441348
242,1.4155230318038334
243,1.4144720393013628
244,1.4136932489575815
245,1.4133777487204648
246,1.4121692472200675
247,1.4112160148475033
248,1.4096110758641984
249,1.4089056263106503
250,1.4083999355329708
251,1.4072299591161612
252,1.4065135408861758
253,1.4039912062871713
254,1.4024862506314535
255,1.402953758388923
256,1.4029621244632504
257,1.4032710137073336
258,1.4020314621584586
259,1.4014029334995342
260,1.3996706093475924
261,1.3982188368439252
262,1.397965672746311
263,1.397421165258269
264,1.3968895580157683
265,1.39545079682697
266,1.3942126937158899
267,1.3933039343222524
268,1.3938355102517588
269,1.3921555213424512
270,1.390807943924694
271,1.3898913967149502
272,1.3909448932090356
273,1.3897389137137337
274,1.389595489141388
275,1.3881661232937101
276,1.3872342658165329
277,1.385753652616752
278,1.3850212271285236
279,1.3845995031184184
280,1.38435849357797
281,1.383175783364511
282,1.3828056157252635
283,1.3824474824817548
284,1.3809393906166638
285,1.3804333434987346
286,1.3795415336161605
287,1.3787598895927746
288,1.3773788621196357
289,1.3764384860573755
290,1.3766605020497293
291,1.3763998775074804
292,1.3756910394263684
293,1.3745486411559846
294,1.3741170318755025
295,1.3723914116758171
296,1.3712103398584978
297,1.3717435497151929
298,1.3702809085305656
299,1.3691218072584341
300,1.367725117968377
301,1.3671792297907202
302,1.365227395894543
303,1.3653867557493105
304,1.364603564504011
305,1.3628460032328513
306,1.36106751771982
307,1.3597949819885624
308,1.3594652654773975
309,1.359300685516233
310,1.3585002304381912
311,1.357028614074722
312,1.3568192225915832
313,1.355812728954551
314,1.3550256330030528
315,1.35413785803243
316,1.355106196653189
317,1.3547186281387484
318,1.3544047567925395
319,1.352583895998565
320,1.351008136290268
321,1.3505543735035583
322,1.3492968000784666
323,1.3475816592206273
324,1.3461985641484366
325,1.3445111285659164
326,1.3448254718241965
327,1.3447160784047076
328,1.3441653646109966
329,1.343083836553715
330,1.3406335351520917
331,1.3399123594321187
332,1.340422847506911
333,1.3401063180459565
334,1.3382927351314862
335,1.3372174789698767
336,1.3363192039078065
337,1.334842219156427
338,1.3348469742552376
339,1.332714724999508
340,1.3315204246740286
341,1.3312042472263557
342,1.330194941101726
343,1.328930060255415
344,1.3272499137425986
345,1.3265573929007226
346,1.325589759829287
347,1.3245812751028583
348,1.3240801373752862
349,1.322715274861825
350,1.3219731040054508
351,1.3215429481192427
352,1.3192448156523855
353,1.317810041847378
354,1.3180816274694886
355,1.3163334182990059
356,1.3152856765667285
357,1.314752288528644
358,1.3135576973856316
359,1.3126423141275974
360,1.3107130989293712
361,1.3082578163945697
362,1.3087319983680303
363,1.3067834999197123
364,1.3064677209217772
365,1.3055625751056046
366,1.304311335727764
367,1.3040500439786322
368,1.3031228687834628
369,1.3043047560202896
370,1.3034217673934843
371,1.301455730078802
372,1.300117956639813
373,1.2981435407135704
374,1.2976076436010302
375,1.2967406949956284
376,1.2951972700342995
377,1.29457288572936
378,1.2930851271074255
379,1.2927183838603935
380,1.2926169633647135
381,1.2909409518079882
382,1.2892102502604645
383,1.2888798434899522
384,1.2878262804775689
385,1.2862055582611034
386,1.2856677837602808
387,1.28568609490734
388,1.2849105826840477
389,1.2824270190217024
390,1.2812191383405949
391,1.2812501784093306
392,1.2799732086871747
393,1.2772172366040153
394,1.2775057244204007
395,1.2771542940994232
396,1.2760190402120555
397,1.2750894954356344
398,1.2734191188073118
399,1.272077450250663
400,1.2718744741776755
401,1.2695811278180313
402,1.2677590292193113
403,1.2677019037755954
404,1.2670398300990886
405,1.266685631392966
406,1.2649896092493889
407,1.2644122732972478
408,1.2630785387039722
409,1.2615076874322055
410,1.260462078900097
411,1.2606934502255878
412,1.2598278813846102
413,1.258422394349438
414,1.2581989001007174
415,1.2564069707393193
416,1.25577249850842
417,1.255015799624123
418,1.255386636889967
419,1.2539732191403024
420,1.2537616597407206
421,1.251825872040693
422,1.25104210148622
423,1.2506222409745236
424,1.2497149359163704
425,1.248535681765982
426,1.247631053521637
427,1.2467090613525482
428,1.2447467422991416
429,1.2441400463316103
430,1.244505742636304
431,1.2439954870345653
432,1.2433495248918864
433,1.2425520400675607
434,1.2402302408855306
435,1.2408687764738864
436,1.2407758804210272
437,1.2400886857498352
438,1.2395286659052054
439,1.2398644589368277
440,1.2383240976672536
441,1.2367526244450415
442,1.2367188495426358
443,1.236677404503658
444,1.2369778627049102
445,1.236881475963223
446,1.2352126641608678
447,1.2342749718667652
448,1.2335821067935215
449,1.2332712407265
450,1.2325771056057195
451,1.2313590619257457
452,1.231158568596431
453,1.2314672090463583
454,1.2323736280539135
455,1.231583659340255
456,1.23163812640899
457,1.2304674732819687
458,1.2295918087663598
459,1.2286293951023215
460,1.2287561840349033
461,1.2269135790032608
462,1.22631740452311
463,1.225446812807039
464,1.225671988204715
465,1.2253696284823252
466,1.2249139040853538
467,1.2239711690377775
468,1.2235684211699682
469,1.2225070186493596
470,1.221768326481571
471,1.2206176060747
472,1.2203404609007835
473,1.2197454883197745
474,1.2183766982835535
475,1.2194466095861303
476,1.2181350683085104
477,1.217867790243099
478,1.2179782938010488
479,1.2167677804689632
480,1.2159969329630755
481,1.2156644659492775
482,1.2149308553848557
483,1.2135906882632004
484,1.2138085349715888
485,1.2131241358149527
486,1.2147666521230398
487,1.213823040624018
488,1.21242082489066
489,1.2124375081640204
490,1.21203431264526
491,1.2126146460118679
492,1.2128796521703182
493,1.21268999634204
494,1.2120470724884267
495,1.2119465829174898
496,1.2117768857931994
497,1.211604652654185
498,1.211949427452527
499,1.2123731092474712
500,1.212293940039447
501,1.212617166433025
502,1.2118160435884804
503,1.2119954102702615
504,1.2118624683479193
505,1.2119085299731658
506,1.2118143136540465
