Unnamed: 0,d
0,-0.0670092007627326
200,-0.0530686172641053
400,-0.0948554309120051
600,-0.2286155892146196
800,-0.2695135013020634
1000,-0.2336724511995709
1200,-0.4054024283812614
1400,-0.4744665929438002
1600,-0.5475520367216865
1800,-0.6272951244171106
2000,-0.6625494102227704
2200,-0.7473383548754281
2400,-0.8963508280655891
2600,-1.0059865068295208
2800,-1.0607263753300598
3000,-0.9935656273148016
3200,-0.9848667818072432
3400,-0.7655137023611458
3600,-0.4912220074202702
3800,-0.2456069155106818
4000,0.0940305981187041
4200,0.4556591353686665
4400,0.7884827066839019
4600,1.0774491195851896
4800,1.0854172585420443
5000,1.454693172389496
5200,1.6259913574107354
5400,1.820991709952818
5600,1.836399646308901
5800,1.9859777514461063
6000,1.985626312506397
6200,1.9203531626912709
6400,1.8065972543380764
6600,1.6254138840622374
6800,1.3870025610110268
7000,1.221446457881359
7200,1.050891144983953
7400,0.9275187629225824
7600,0.6780125856850758
7800,0.6111576869425374
8000,0.4488596041883407
8200,0.2090798211727703
8400,0.018591882538949
8600,-0.1546259514618132
8800,-0.4126367226708343
9000,-0.6612298517010828
9200,-0.7696147911405514
9400,-0.8189833932732491
9600,-0.7622991023709376
9800,-0.8439649300174082
10000,-0.7769658665032181
10200,-0.790782411206519
10400,-0.8694305850137594
10600,-0.9226149296046208
10800,-0.984035713588433
11000,-1.016785278640149
11200,-1.028858374525835
11400,-0.9883649406129822
11600,-1.0359519306832925
11800,-0.744725942578399
12000,-0.3139640917748156
12200,0.0509071037586259
12400,0.4088683086947667
12600,0.8533652430562667
12800,1.0537115754553712
13000,1.2850412940829097
13200,1.468936390593956
13400,1.6540592775273306
13600,1.798066961607146
13800,1.84654675402237
14000,2.047908528035988
14200,2.074781181289633
14400,2.09871825091128
14600,1.9018093543912271
14800,1.8630016047015072
15000,1.7479736544806903
15200,1.6331447244770372
15400,1.471863633624407
15600,1.3016212420350133
15800,1.1366271476985366
16000,0.7220770416610831
16200,0.6878895920031741
16400,0.5372212201432172
16600,0.3880095302743281
16800,0.1596189565621563
17000,0.1625591320523706
17200,-0.0521319029516122
17400,-0.1960582846267183
17600,-0.3928560622591648
17800,-0.5533525522960708
18000,-0.639261776220293
18200,-0.7585993413767084
18400,-0.9264639624032904
18600,-1.007616858173937
18800,-1.010043458356061
19000,-0.8282436838567339
19200,-0.7647430141552745
19400,-0.4467286250252687
19600,-0.0818369542312706
19800,0.2202527527340653
20000,0.5731247017445388
20200,0.8623747328994061
20400,1.0707986151195916
20600,1.2996142382597042
20800,1.4707966957266898
21000,1.4675283906201684
21200,1.6694295719739716
21400,1.6132312264667228
21600,1.5726283231144105
21800,1.3069716685569606
22000,1.235978144055422
22200,1.0308389270266411
22400,0.8105818711670708
22600,0.5751103342256649
22800,0.3145375057054575
23000,-0.0027293578857439
23200,-0.2664188028877516
23400,-0.6392458454158875
23600,-0.6868859596170463
23800,-0.7484465689527824
24000,-0.8708008892864706
24200,-0.8659006094154029
24400,-0.847266996136759
24600,-0.8964473174279192
24800,-0.8959343768334513
25000,-0.941073391275178
25200,-0.9670286087185532
25400,-0.9771502761354672
25600,-1.0367597327969664
25800,-1.253056063528396
26000,-1.2349130762058054
26200,-1.2212046000109873
26400,-1.2292822070394716
26600,-1.1815248331007857
26800,-1.0279177787165013
27000,-0.97658358689076
27200,-0.8250791065219607
27400,-0.6454296132867784
27600,-0.3855307856929033
27800,-0.0537776655598915
28000,0.3826294153280674
28200,0.4064188828329537
28400,0.997926096719156
28600,1.3088139048274463
28800,1.5393633835912957
29000,1.6539825459533306
29200,1.8869403804102127
29400,2.0250385909254387
29600,2.1308724421809626
29800,2.1503660240739686
30000,2.04566635246348
30200,1.823194328795282
30400,1.6715437291862394
30600,1.4905459606856857
30800,1.3532558731713884
31000,1.1633200250857696
31200,1.062054957214191
31400,0.9356694209746704
31600,0.717245807641106
31800,0.5018674342573896
32000,0.2604577434371102
32200,-0.0006134866459895
32400,-0.4949723079858988
32600,-0.590704542920468
32800,-0.7110478038045899
33000,-0.7390701507449292
33200,-0.9008050527400996
33400,-0.8700001274650366
33600,-0.951472415135044
33800,-0.9295490571099708
34000,-0.8802242626086936
34200,-0.7587708424620074
34400,-0.5970914717997298
34600,-0.35361150717084
34800,-0.0672173103338461
35000,0.0148329345406706
35200,0.5096676065212684
35400,0.9094520692920636
35600,1.1317196195539545
35800,1.2939391816078878
36000,1.5657053347824572
36200,1.697564689673171
36400,1.8404761719557123
36600,1.9218219557913376
36800,1.9436952222839656
37000,1.868796299709352
37200,1.6018789564964528
37400,1.5564670946604555
37600,1.418386484149777
37800,1.344671873762458
38000,1.1037853057564535
38200,1.0680790482481937
38400,0.8743887211533639
38600,0.6991601012439804
38800,0.4752354027310765
39000,0.2384822736458922
39200,-0.0781194526033196
39400,-0.3202600514690789
39600,-0.6778843600808712
39800,-0.7269325588367661
40000,-0.7330362955586496
40200,-0.8595659992655952
40400,-0.8444673463209771
40600,-0.7575273929225653
40800,-0.7260604683814534
41000,-0.5469217653759634
41200,-0.3430694541843717
41400,-0.1051419298949863
41600,0.2089636530856329
41800,0.5263524975312962
42000,0.7933183435966302
42200,0.8365906321954186
42400,1.1813839467304383
42600,1.3810193775119008
42800,1.4713299146332548
43000,1.4431568794104253
43200,1.4395263189755594
43400,1.2837408833634505
43600,1.1336738511061537
43800,0.9655872405817802
44000,0.7759102432950347
44200,0.6105920663500803
44400,0.4462502578409894
44600,-0.0472041657717727
44800,-0.0882555616482966
45000,-0.2763412364850102
45200,-0.3363292002170154
45400,-0.6264005801746215
45600,-0.5910756503693076
45800,-0.7088069456512209
46000,-0.8202074736674053
46200,-0.8982084149434196
46400,-0.9894732201579028
46600,-1.058690921151093
46800,-1.0839449654496125
47000,-1.13929661857904
47200,-1.238912022334455
47400,-1.3389551614280393
47600,-1.3545704103384886
47800,-1.258408052762059
48000,-1.1912950165002825
48200,-0.9700846502556926
48400,-0.6965789865731756
48600,-0.4895853817065363
48800,-0.195563471964561
49000,0.1720361341312
49200,0.5443663300940769
49400,0.8428468805115167
49600,0.93320114646239
49800,1.3376081284602468
50000,1.5098609015714997
50200,1.7453175338505789
50400,1.764613627142276
50600,1.914948502413616
50800,1.932916501322472
51000,1.8804985957080176
51200,1.765363894014432
51400,1.598961663315298
51600,1.369933621249053
51800,1.1789955124163791
52000,1.0565831197595517
52200,0.9304972992576164
52400,0.7338603000698272
52600,0.6365223109572854
52800,0.5041868328266684
53000,0.2436653421411699
53200,0.0454665785058004
53400,-0.2595763118891419
53600,-0.3934241343708489
53800,-0.7360512469239002
54000,-0.5831558408634374
54200,-0.574359901459039
54400,-0.561788945466415
54600,-0.6459579724148632
54800,-0.4910322199794702
55000,-0.6094706062459097
55200,-0.7385035480140598
55400,-0.8534879477686101
55600,-0.9572351494617636
55800,-1.0687828369400103
56000,-1.1805037377786076
56200,-1.3543940883397645
56400,-1.318489212079841
56600,-1.2227715065047855
56800,-1.143416382765614
57000,-0.9476578990759652
57200,-0.6126995699130874
57400,-0.3584378147372368
57600,0.0228331549402451
57800,0.4126409060778819
58000,0.8121085623878781
58200,1.0695397182257067
58400,1.248763489918922
58600,1.581189249070174
58800,1.758763105056755
59000,1.9968174394362723
59200,2.0674742869510405
59400,2.1924078129127444
59600,2.2642643529689472
59800,2.225602175688266
60000,2.106246442022793
60200,1.9541764134352693
60400,1.7520135062748017
60600,1.4793281371939306
60800,1.3858386224596635
61000,1.2362940591819171
61200,1.0826872327851258
61400,0.8884989922396969
61600,0.7856428667366342
61800,0.4542955758340524
62000,0.2126429817401366
62200,-0.1113653454916363
62400,-0.423032275360503
62600,-0.6357530486297704
62800,-1.027452688467581
63000,-1.0096241443477951
63200,-1.0407897438153282
63400,-1.0784295232470675
63600,-1.000454598317862
63800,-0.7906052064294795
64000,0.13000225812026972
64200,0.07666297024320885
64400,0.02357720389831573
64600,-0.03592568365222677
64800,-0.09329789533854015
65000,-0.14375217813748348
65200,-0.191524790164553
65400,-0.23753643889170042
65600,-0.2823595628594652
65800,-0.327213863740304
66000,-0.3622757243483484
66200,-0.3901906198198059
66400,-0.4179119142651989
66600,-0.4459177550733308
66800,-0.46969874395367656
67000,-0.4950682345757691
67200,-0.530933090798598
67400,-0.5747673743331566
67600,-0.6132155039485476
67800,-0.6176543359577735
68000,-0.6418576579483951
68200,-0.6146139025617944
68400,-0.6271438278849901
68600,-0.629830061131948
68800,-0.6407486723379769
69000,-0.6437869765789169
69200,-0.6558857480066744
69400,-0.6570534374631735
69600,-0.6557198259961196
69800,-0.654460582872935
70000,-0.647470262714232
70200,-0.6320185283472411
70400,-0.590863026017003
70600,-0.5671465201178446
70800,-0.5423047557804683
71000,-0.5230509588434754
71200,-0.5163877681482955
71400,-0.517310908940292
71600,-0.5334648082227109
71800,-0.5486157233991632
72000,-0.5714512153596009
72200,-0.6032530354376228
72400,-0.6356551251541966
72600,0.5532700674583011
72800,0.5538580184141263
73000,0.4293841169248644
73200,0.1950205697173599
73400,-0.07845950970534195
73600,-0.37166545015372815
73800,-0.7476511135362204
74000,-0.9146748097413914
74200,-0.9471132471761344
74400,-1.0295407470337554
74600,-1.0182952344879577
74800,-1.0532999881162006
75000,-1.0593442790662357
75200,-1.0938879185459889
75400,-1.0665822655807484
75600,-1.0890943540989817
75800,-1.1011108488927244
76000,-1.113238515996014
76200,-1.124250277735008
76400,-1.132566833359379
76600,-1.1132615564951882
76800,-1.13096137441857
77000,0.10095556466297403
77200,0.44605768211935115
77400,0.5166963546899211
77600,0.44569937574275414
77800,0.38041218228071344
78000,0.3371255478387378
78200,0.3040095828540204
78400,0.26871534018169746
78600,0.2744459609697073
78800,0.13211361950664322
79000,-0.028687621096462564
79200,0.0017437835488278435
79400,-0.30201865966642033
79600,-0.491502812380124
79800,-0.7430532032290655
80000,-0.7639671327666241
80200,-0.7864135976848992
80400,-0.806896069162014
80600,-0.8270165842824645
80800,-0.8346707445658897
81000,-0.8333209363122877
81200,-0.909660877747827
81400,-0.8271330794796093
81600,-0.8050491792480097
81800,-0.7890929872192309
82000,1.1185394978771066
82200,1.0711236045479
82400,0.9290273083948688
82600,0.933278669795724
82800,0.7723518443192733
83000,0.6933584901585732
83200,0.5618757020019454
83400,0.4658854372142899
83600,0.3239724294677347
83800,-0.1248033193165526
84000,-0.1638857020864828
84200,-0.3496007857192547
84400,-0.431215319478177
84600,-0.6826709868024775
84800,-0.659670944489473
85000,-0.7859997822276967
85200,-0.915969665158637
85400,-1.024394762000633
85600,-1.112533128019744
85800,-1.1540127536574918
86000,-1.117378851537015
86200,-1.2628959800724189
86400,-0.9664209191711984
86600,-0.7048736895679362
86800,-0.3006940102324636
87000,-0.0595291695275024
87200,0.4879765175694844
87400,0.7571007369136468
87600,1.02185216140401
87800,1.2390212858570386
88000,1.4785917599729457
88200,1.6013003733323472
88400,1.6843276398707905
88600,1.842922175354284
88800,1.7900107152609834
89000,1.7539309337173463
89200,1.5470426554157453
89400,1.4781795130086848
89600,1.3774869455590366
89800,1.2662303289846784
90000,1.1519164631702763
90200,1.030169719762959
90400,0.9027691607248636
90600,0.4665061171547041
90800,0.5234506822984323
91000,0.4215490440706057
91200,0.3027888031654464
91400,0.0818916096645114
91600,0.0428454693884134
91800,-0.2257437685477348
92000,-0.4234325912221938
92200,-0.6319557493017611
92400,-0.7636994800411213
92600,-0.9086893842168428
92800,-1.0215596894595087
93000,-1.1846493769440558
93200,-1.1660972914852528
93400,-1.0397720943303443
93600,-0.9387666351052492
93800,-0.7008033150603838
94000,-0.3399112772056499
94200,-0.1048534946799676
94400,0.2533854243913798
94600,0.5901519947475107
94800,0.8012256245850646
95000,0.9733940243640448
95200,1.1120312351556834
95400,0.9884975632677366
95600,1.2147557649592962
95800,1.1754883629751711
96000,1.1021119243216797
96200,0.9159145232382674
96400,0.8849298473239685
96600,0.6532343662290045
96800,0.4950902490580572
97000,0.2737099471687899
97200,0.0739822619958744
97400,-0.1756443168837812
97600,-0.318750313016532
97800,-0.7722873449277212
98000,-0.7227240565321635
98200,-0.7817393285687857
98400,-0.8065213482678453
98600,-0.7754356887666106
98800,-0.7052287005009834
99000,-0.8537822648516279
99200,-0.930445700203531
99400,-1.0104171176367849
99600,-1.055644820974168
99800,-1.0947829165191227
100000,-1.0782480397387717
100200,-1.038590246546814
100400,-0.7978656576727334
100600,-0.3806827295246742
100800,-0.0734090093808417
101000,0.3785465737558279
101200,0.791094962263534
101400,1.0152741094059865
101600,1.252085442573336
101800,1.442416411894294
102000,1.6104581945956642
102200,1.7766307329486104
102400,1.7641958388781775
102600,1.9745228416543563
102800,2.0058600095976726
103000,1.965102158312292
103200,1.7784937067466409
103400,1.758726064768924
103600,1.6142706699401537
103800,1.5095856230373523
104000,1.3508594450924596
104200,1.1826193601577089
104400,0.7818002204674264
104600,0.7839617925545201
104800,0.6709572303146487
105000,0.5444449216220382
105200,0.357203542076311
105400,0.3393726883224706
105600,0.1021108227953254
105800,-0.0674870192589928
106000,-0.2727982592207096
106200,-0.4692986116981103
106400,-0.6037421049448333
106600,-0.9612078595369687
106800,-0.8777169967060086
107000,-0.8533409241476203
107200,-0.8325428513613307
107400,-0.8274854840163659
107600,-0.6353814621700635
107800,-0.5899296778455684
108000,-0.4631479953868409
108200,-0.3620739721317024
108400,-0.2340828378121843
108600,-0.0449710703787696
108800,0.2036881219179426
109000,0.5205757325982759
109200,0.4301012549608059
109400,0.8922523241128842
109600,1.0867021103175514
109800,1.2981591321695076
110000,1.3169138740451276
110200,1.5266412880022395
110400,1.5763241123451937
110600,1.5753398942793642
110800,1.470581919142979
111000,1.341306602899384
111200,1.136730366417977
111400,0.9430084011222736
111600,0.638842932670606
111800,0.5362220500753994
112000,0.3863065184902837
112200,0.1533638560942497
112400,0.0398056972374473
112600,-0.0452852415306931
112800,-0.291587123520085
113000,-0.4358952925783919
113200,-0.5882871118959694
113400,-0.7371306380750482
113600,-0.8431545544920422
113800,-0.9242994621796168
114000,-1.221478902210859
114200,-1.1601716000379003
114400,-1.201022263819574
114600,-1.179941104564134
114800,-1.149408767373106
115000,-0.915236780586976
115200,-0.800573489459871
115400,-0.6114606830456234
115600,-0.3897678822144007
115800,-0.2047389698859199
116000,0.0542735697146623
116200,0.2709148817135162
116400,0.292293951094478
116600,0.6392243947234901
116800,0.8211923001345437
117000,1.0392375323591383
117200,0.9946589726314318
117400,1.0647945397273302
117600,0.9944057077023012
117800,0.9025420448183152
118000,0.7875758874058425
118200,0.6523730148191823
118400,0.5033392337526428
118600,0.3928319407086751
118800,-0.0176653072768359
119000,-0.042006542372965
119200,-0.218728390626266
119400,-0.3042957483081129
119600,-0.5813598533655879
119800,-0.5705367537550967
120000,-0.7113876449198715
120200,-0.8364525416587923
120400,-0.943596427468572
120600,-1.0119902643706238
120800,-1.0353641163591945
121000,-1.0406769820015642
121200,-1.0354588642484397
121400,-0.9231913173397526
121600,-0.6832746633431495
121800,-0.2004185154682261
122000,0.1193239806280076
122200,0.6222682045895072
122400,0.9853512063971572
122600,1.1925285995715105
122800,1.4375121114044296
123000,1.6664739129172514
123200,1.8448525077227504
123400,2.0354766972485163
123600,2.199312456505783
123800,2.4436770442165936
124000,2.637853376266232
124200,2.734703516701057
124400,2.627249922360608
124600,2.592385091977804
124800,2.469961056289959
125000,2.3227638418839422
125200,2.17505193601516
125400,1.9851349130867184
125600,1.805764764898147
125800,1.782448435327887
126000,1.7292623041920236
126200,1.661941976957618
126400,1.5937218707601242
126600,1.5668476290903428
126800,1.3907656630054293
127000,1.2378425926025476
127200,1.0249252766570345
127400,0.784762078101712
127600,0.5213853957059632
127800,-0.1155151957893094
128000,-0.1950804790558566
128200,-0.3548851964930317
128400,-0.4017931390461881
128600,-0.5503127890051752
128800,-0.3912893736874006
129000,-0.4266568512252719
129200,-0.3010904278134363
129400,-0.1045485297096159
129600,0.1641530002426875
129800,0.4676864038365633
130000,0.8231777018599207
130200,1.1047197908879032
130400,1.0673214656852328
130600,1.5132163133052172
130800,1.7020787118919554
131000,1.905389598435427
131200,1.8754795490021148
131400,1.9947905036503983
131600,1.9227886242005008
131800,1.8506198610392304
132000,1.7181221286418915
132200,1.6247941957463747
132400,1.4536776936018896
132600,1.2702727586534874
132800,1.1445294556891008
133000,1.068752018881886
133200,1.032782139626747
133400,0.8854508541564319
133600,0.8830990324585906
133800,0.7853226852450024
134000,0.5809693731801193
134200,0.3899705230414182
134400,0.1373227934401935
134600,-0.1216713199009607
134800,-0.353577045742755
135000,-0.5030217813654326
135200,-0.9177749772099976
135400,-0.8671141209068318
135600,-0.9125913774408814
135800,-0.8597533111977622
136000,-0.8199249683818657
136200,-0.5448953325687039
136400,-0.4538740349189724
136600,-0.2521336866412231
136800,-0.0044476796847319
137000,0.2728882602764309
137200,0.5597954776344438
137400,0.8920407125783996
137600,1.0938604941383496
137800,1.1842377626239822
138000,1.468360138647787
138200,1.568666626324512
138400,1.69683138234806
138600,1.5792118213033095
138800,1.574549873259072
139000,1.5010215093269397
139200,1.4379723548444343
139400,1.3418751799918376
139600,1.2416647226778326
139800,1.1184355619825508
140000,1.0475040892801784
140200,0.6429680861094575
140400,0.6936510805647047
140600,0.5955461572611876
140800,0.5237202599633491
141000,0.2815870829531168
141200,0.3457898941848098
141400,0.1377738746700187
141600,-0.0349821442571931
141800,-0.2426866970073084
142000,-0.4816643646193513
142200,-0.6202565154676243
142400,-0.7871068083949926
142600,-0.9942942557237072
142800,-1.053722449512732
143000,-1.0292567482766903
143200,-0.8227661471399058
143400,-0.7342290711595986
143600,-0.3819288528911833
143800,-0.048782996569413
144000,0.1789617827696424
144200,0.4749286514961081
144400,0.7283995640053986
144600,0.9389407312277788
144800,1.1207865833888733
145000,1.24612740905956
145200,1.309783520066582
145400,1.4223575349606683
145600,1.406650809425209
145800,1.286741998319545
146000,1.1520276422234317
146200,1.1196337670685552
146400,0.933399244440244
146600,0.8331749025071005
146800,0.7045446407268113
147000,0.6115415292068105
147200,0.4737872199965606
147400,0.2589090520738579
147600,0.0184885927062786
147800,-0.066376323231648
148000,-0.1866895412425581
148200,-0.3834681663441821
148400,-0.4250963818159681
148600,-0.4447234635526172
148800,-0.6143331592074566
149000,-0.7042335004028952
149200,-0.8047429116836251
149400,-0.8844148897878887
149600,-0.9649332219016844
149800,-1.0281144673809817
150000,-1.2089978224447355
150200,-1.0941930435757663
150400,-0.946629492033518
150600,-0.8158134636476355
150800,-0.5945418504767774
151000,-0.2040549894122828
151200,-0.0547221722984858
151400,0.23078221260049
151600,0.4761026853030012
151800,0.7197119440363575
152000,0.9232718746351934
152200,1.078677852578465
152400,1.136038973377877
152600,1.3493702859069217
152800,1.4417489517435695
153000,1.3873183725771123
153200,1.31121980817693
153400,1.3070042469344083
153600,1.1856126937022895
153800,1.1027241808689188
154000,1.0047377407270348
154200,0.9001358726839299
154400,0.8344901804029196
154600,0.4727966544626479
154800,0.5465031013657548
155000,0.4574017931687087
155200,0.4628211605215107
155400,0.2159038903614475
155600,0.2775210084627334
155800,0.0885765838067781
156000,-0.0237377467226272
