,d
0,-0.6449340364988153
1,-0.6425382979288525
2,-0.6445909475016651
3,-0.6426176047044836
4,-0.6426803130230772
5,-0.6433444004973963
6,-0.6425771796632768
7,-0.642963999457187
8,-0.6448404875948212
9,-0.6418436395550845
10,-0.6411466845913784
11,-0.640832105199326
12,-0.6403229844753404
13,-0.6353780305356802
14,-0.6296266597821882
15,-0.6347198031434607
16,-0.6372306808390801
17,-0.6348480554212402
18,-0.6327002037828057
19,-0.6369432915679369
20,-0.6385862035117628
21,-0.6420712687140714
22,-0.6416945282055205
23,-0.6411744859590319
24,-0.6396603256592199
25,-0.6397104245920912
26,-0.64024758735891
27,-0.6400101361740901
28,-0.6347587774406809
29,-0.6402511892274041
30,-0.6385956382132209
31,-0.6341738199650677
32,-0.6390130512897979
33,-0.6399868793209001
34,-0.6366919990105406
35,-0.6335442189648895
36,-0.6304648367819219
37,-0.6323400295110924
38,-0.630195097399739
39,-0.6264591521048123
40,-0.6206893287145895
41,-0.6177371576629267
42,-0.6203104017740416
43,-0.6262222782415414
44,-0.6285050263259138
45,-0.628446346020782
46,-0.6251421540873993
47,-0.6244025508032763
48,-0.6294579596291913
49,-0.6312498919353814
50,-0.6284323129238167
51,-0.6238571822787126
52,-0.621917664683003
53,-0.6228870660284634
54,-0.6212490229838813
55,-0.6244544877985547
56,-0.6221379366409064
57,-0.6242972110052328
58,-0.6235733120943342
59,-0.6207240117113599
60,-0.6172841085774157
61,-0.6131805992784127
62,-0.617705736043475
63,-0.6191620614916968
64,-0.614654904919644
65,-0.6133806362850049
66,-0.614525593850867
67,-0.6139879754738881
68,-0.6160716937001905
69,-0.6162565527801709
70,-0.6122231643138539
71,-0.6129323689209083
72,-0.6074480490104498
73,-0.6062853550493398
74,-0.6117156674597081
75,-0.6109837188226699
76,-0.6085326612200406
77,-0.6117477445131632
78,-0.6142684528054849
79,-0.6139468846467143
80,-0.6132036372093443
81,-0.6128249208034656
82,-0.6083258427087953
83,-0.607034401642241
84,-0.6063995745981655
85,-0.6106842110160668
86,-0.6092261339073055
87,-0.6022257373705552
88,-0.5991481850323231
89,-0.6045241089560444
90,-0.6083076803383536
91,-0.6030865747801314
92,-0.6014491477302838
93,-0.602063926074461
94,-0.6005503293882695
95,-0.6074443419672765
96,-0.6088341977095503
97,-0.608806119372249
98,-0.6054837436900498
99,-0.6045856396857023
100,-0.5994348108466881
101,-0.6044320700935625
102,-0.6006777219924969
103,-0.5976398022026541
104,-0.6032793639811268
105,-0.607507377847405
106,-0.6100453969041194
107,-0.6055440310700928
108,-0.6102369404923881
109,-0.61000476987515
110,-0.6051759990978374
111,-0.6085411850786298
112,-0.605129074647505
113,-0.6054276646362995
114,-0.6096469745171965
115,-0.6041111849669161
116,-0.6059032722236248
117,-0.6071619386374909
118,-0.6032732156586927
119,-0.6038532104831253
120,-0.6048587807517867
121,-0.6033286861100408
122,-0.6066546209217027
123,-0.6095117307577775
124,-0.6053427698242096
125,-0.5958778224044564
126,-0.598257404165317
127,-0.6022936955093069
128,-0.6070885997212958
129,-0.6071904375083784
130,-0.6078166767563992
131,-0.608992521656043
132,-0.6116161234329108
133,-0.6112955483448331
134,-0.6124025491909316
135,-0.6113945026024533
136,-0.6106848728644244
137,-0.6106484419710311
138,-0.610250540949283
139,-0.605968082563737
140,-0.6086578887982389
141,-0.6082121626168282
142,-0.6088574375480781
143,-0.6100755436790353
144,-0.610349005360758
145,-0.6108486277927734
146,-0.6063303516803029
147,-0.6058048934562087
148,-0.6027711740461301
149,-0.6106345060102876
150,-0.6142051245748796
151,-0.6091395715256517
152,-0.6065215320159978
153,-0.6033431326654437
154,-0.612554899985388
155,-0.61709707372732
156,-0.6097597443970268
157,-0.6087798060361302
158,-0.6094581325933475
159,-0.6136092849194549
160,-0.6153169048654848
161,-0.6203173527273353
162,-0.6201642706412558
163,-0.6185741871119932
164,-0.6219521504103724
165,-0.6195308662316911
166,-0.6182676669880979
167,-0.6145370277681499
168,-0.6157429586970998
169,-0.6141828192144633
170,-0.6150524699796348
171,-0.611502979807235
172,-0.6159742575186177
173,-0.6140882353453999
174,-0.6212267917355697
175,-0.6198872182577405
176,-0.615179921241508
177,-0.6083183092116426
178,-0.6136778473931838
179,-0.6210150033456491
180,-0.6164520707426646
181,-0.6234344624659255
182,-0.6188716561137712
183,-0.6214501768239249
184,-0.622341436778034
185,-0.61985445642926
186,-0.6205377021046564
187,-0.6201389070102797
188,-0.6188083841427795
189,-0.6164766530019222
190,-0.6150339864961429
191,-0.6184885444011338
192,-0.6211434551816474
