,d
0,-0.6168550016932605
1,-0.6186239641667358
2,-0.6172206670256265
3,-0.6157263185791326
4,-0.6159108289733677
5,-0.6121646630767308
6,-0.6131981436263538
7,-0.6098297072382344
8,-0.6157682079781076
9,-0.6159483223151597
10,-0.6151293549214033
11,-0.6183439346698553
12,-0.6195629515593718
13,-0.6156720841423752
14,-0.6182886520896863
15,-0.6194697667161635
16,-0.6130145507252469
17,-0.6131925209218126
18,-0.6149146784661793
19,-0.6175840642813031
20,-0.6177178937064985
21,-0.619906040671977
22,-0.6204013703954674
23,-0.6195517656887273
24,-0.6195307339733266
25,-0.6183181123308253
26,-0.6159726944589367
27,-0.6146955536383142
28,-0.6168286257236508
29,-0.6167179769415381
30,-0.6133735653474768
31,-0.6163191877527815
32,-0.6232529044190501
33,-0.6248437613919746
34,-0.6245942058194786
35,-0.6236693371631563
36,-0.6263513940614782
37,-0.6243112215311782
38,-0.6234836857566622
39,-0.6244206371971563
40,-0.626331855766811
41,-0.6267510246487278
42,-0.6289753955416115
43,-0.6302896120938732
44,-0.6262773729009562
45,-0.6308601101450259
46,-0.6261330851532048
47,-0.6273282510126166
48,-0.6298704179798345
49,-0.631854068246077
50,-0.633543395034053
51,-0.6346919645911703
52,-0.6353902096534128
53,-0.6341075103283541
54,-0.6393532286526372
55,-0.6314112484312716
56,-0.6345569360306083
57,-0.6292608975781507
58,-0.6337181550669426
59,-0.6426703620906249
60,-0.6408158249457782
61,-0.640715878969799
62,-0.6377061824508423
63,-0.6323734490063189
64,-0.6316794110123606
65,-0.6348939629561665
66,-0.6359040028606452
67,-0.6371315994815925
68,-0.636874952829052
69,-0.632140972011904
70,-0.6332528429615562
71,-0.6393322073552203
72,-0.6417830282028737
73,-0.6430198305095957
74,-0.6390513712299253
75,-0.639583841829943
76,-0.64551911074487
77,-0.6483391959694981
78,-0.6432181437510351
79,-0.639969551368714
80,-0.6404956954781685
81,-0.6461423163387026
82,-0.6490642524539619
83,-0.6463199722740472
84,-0.6418876481669957
85,-0.6465105351222208
86,-0.6464363042212063
87,-0.6433190554809253
88,-0.6396424792961014
89,-0.6367558715134332
90,-0.6393400338556594
91,-0.6362468422704292
92,-0.6335192889435218
93,-0.6397249092931137
94,-0.6451481916592111
95,-0.6430432752179709
96,-0.6469569261355397
97,-0.6504010854544156
98,-0.6512046034035512
99,-0.6530186487378916
100,-0.6476657337311543
101,-0.6478855229190487
102,-0.6501134662238394
103,-0.6567291508055941
104,-0.6568563647626071
105,-0.6551683437716441
106,-0.6566879378401046
107,-0.654439952672354
108,-0.6582900961447085
109,-0.6568751043308151
110,-0.6583279287492899
111,-0.6624473371210773
112,-0.6567223064754262
113,-0.6515404555281369
114,-0.6516718333124653
115,-0.6529702174623213
116,-0.6590303791095838
117,-0.6568162005944281
118,-0.6552391770132979
119,-0.6510617781093354
120,-0.6492975851960655
121,-0.6575927216423751
122,-0.6539479538895829
123,-0.6507670805353629
124,-0.6538087133210192
125,-0.6536436964453759
126,-0.6549113658548867
127,-0.65610219184906
128,-0.6577920785202943
129,-0.6555154358813287
130,-0.6554800942769337
131,-0.6521409731860842
132,-0.6531889474986441
133,-0.6565716399505648
134,-0.6579544212872227
135,-0.6592378243580339
136,-0.6613384121324799
137,-0.6595330201907811
138,-0.6560145138633324
139,-0.656297302271497
140,-0.6601889753081069
141,-0.6630722387115688
142,-0.6590570504366421
143,-0.6624235346805488
144,-0.66705507823876
145,-0.6676736024655545
146,-0.664599456840987
147,-0.6672435542137184
148,-0.6680873098504894
149,-0.6696697241518925
150,-0.6678798447832804
151,-0.6688120953071781
152,-0.661746565254545
153,-0.6601848819328376
154,-0.6631513025018644
155,-0.6617326170715453
156,-0.6639007528402
157,-0.6669587808526644
158,-0.6631077894037376
159,-0.6640982057062106
160,-0.6629397432640279
161,-0.6695347294922972
162,-0.6705384451900649
163,-0.6686557122243181
164,-0.6663303966819422
165,-0.6697814442258535
166,-0.6698922909762122
167,-0.6674522815407773
168,-0.6655059484668884
169,-0.6716390147238113
170,-0.6687219780244199
171,-0.6675656248583881
172,-0.6710107138165691
173,-0.6697352065606683
174,-0.6629535047264928
175,-0.6625498648439057
176,-0.6621666935384221
177,-0.6627897550490898
178,-0.6599723696237505
179,-0.6643142067628002
180,-0.663106449259549
181,-0.6618921264498224
182,-0.6639318436882481
183,-0.6642466198998807
184,-0.665184255859462
185,-0.6711252477088243
186,-0.6682880871257524
187,-0.6667608965713115
188,-0.6750368131109811
189,-0.6737347605147209
190,-0.6753766719588228
191,-0.6788168647113327
192,-0.6773629016063433
193,-0.6742742059730542
194,-0.6729041121707661
195,-0.6751718413448149
196,-0.6801944034640828
197,-0.6791629640469031
198,-0.6779580069395379
199,-0.6806670621216325
200,-0.6819352507163075
201,-0.6862487666863164
202,-0.6820139553008536
203,-0.686715836282744
204,-0.6861025255890715
205,-0.6880771544619602
206,-0.6877863586894435
207,-0.6908329235503673
208,-0.6892195265975213
209,-0.6942524777207438
210,-0.6959736288303638
211,-0.6923705273707307
212,-0.6958244855775427
213,-0.7004447640182477
214,-0.6996730893887854
215,-0.6993009774207334
216,-0.6994699797706448
217,-0.698553930248449
218,-0.6991018356028554
219,-0.700372705291739
220,-0.7000752164003526
221,-0.6970495697755525
222,-0.705476840548717
223,-0.7119074559395157
224,-0.71407466528511
225,-0.7120192904379791
226,-0.715020580567293
227,-0.7184902844792129
228,-0.7159612987756389
229,-0.7109426143138649
230,-0.7085788337504255
231,-0.7117834891691334
232,-0.7134808263648277
233,-0.7130049161986894
234,-0.7155092585225791
235,-0.7241115696098234
236,-0.7262332184715788
237,-0.7224222743272988
238,-0.7257406262588948
239,-0.7276495302251709
240,-0.7268872455283235
241,-0.7251363312040293
242,-0.725271198968872
243,-0.7224943889424773
244,-0.7269016323949302
245,-0.727106781414666
246,-0.7261691235861245
247,-0.7270396237743959
248,-0.7276228121927921
249,-0.7337554529418843
250,-0.7353796029740861
251,-0.7327162373823044
252,-0.7299970388551691
253,-0.7344495552098488
254,-0.7416383937027777
255,-0.7427281690981246
256,-0.7416220178262463
257,-0.7420582284684721
258,-0.7438446394887811
259,-0.7464398593778503
260,-0.7434619564458109
261,-0.7425032333915009
262,-0.7495849603208
263,-0.7440165541207789
264,-0.7383106063135978
265,-0.7437780468933377
266,-0.7482327220698854
267,-0.7454936471477971
268,-0.7419732449343107
269,-0.7433076738434011
270,-0.7416821327810437
271,-0.7444097934729114
272,-0.7480273994623193
273,-0.7493536339410616
274,-0.7435457869578327
275,-0.745744257019766
276,-0.7477491783992373
277,-0.7451556333988562
278,-0.7409157753857348
279,-0.740333601575306
280,-0.7357394061154313
281,-0.7382500861982467
282,-0.7448168848779616
283,-0.7451555363514276
284,-0.7456965962807207
285,-0.7429470654900042
286,-0.7453855373103985
287,-0.7432260753644137
288,-0.7399763383706602
289,-0.737199241228039
290,-0.7349913951257091
291,-0.7324191285594814
292,-0.7333075624379146
293,-0.7402153796313307
294,-0.7353163312810611
295,-0.7378608454427615
296,-0.7446281655862068
297,-0.7392720965689434
298,-0.7311347002892505
299,-0.7342364800781295
300,-0.7395131039032169
301,-0.7355757302116391
302,-0.7321558850649222
303,-0.7338800688383529
304,-0.7360518084753934
305,-0.7372942456576149
306,-0.7365520580266367
307,-0.7330993342086507
308,-0.7286373857765125
309,-0.7271156358453238
310,-0.7350485267213873
311,-0.7263177613872823
312,-0.72112723198206
313,-0.7212192687797232
314,-0.7238167743147572
315,-0.7198908640504105
316,-0.7224948929768926
317,-0.7216352547558008
318,-0.7197861811724454
319,-0.7208550630680189
320,-0.7172486927722856
321,-0.7177510196419719
322,-0.7221456461363017
323,-0.7215877184167202
324,-0.7174015109312893
325,-0.7166635943952322
326,-0.7139682082696323
327,-0.7072005067113262
328,-0.7115276165006534
329,-0.7136650823540104
330,-0.7148465460222602
331,-0.7161639162143623
332,-0.7130538636825833
333,-0.7092035205829703
334,-0.7080529751706116
335,-0.7055375059249299
336,-0.7090720136187093
337,-0.7110084125077574
338,-0.7081352822257665
339,-0.7059058239656807
340,-0.7048049820822007
341,-0.7023753881781022
342,-0.7029910910222911
343,-0.7066892593642359
344,-0.7066954262591975
345,-0.7061737367141422
346,-0.7028990364358617
347,-0.7017922809229802
348,-0.7005385858965326
349,-0.6996051434397449
350,-0.6991348398969237
351,-0.7026560830436658
352,-0.7031622825967591
353,-0.7005681300059309
354,-0.7004155646211411
355,-0.7031759872548298
356,-0.7078677642759276
357,-0.7027205983031133
358,-0.7065562287399907
359,-0.7073535983660462
360,-0.7039085080738111
361,-0.7051716982402474
362,-0.7003792634093086
363,-0.6976902938211611
364,-0.7027217117110411
365,-0.7063242340275615
366,-0.7038158333403928
367,-0.7059379014469748
368,-0.6979562287461936
369,-0.6921158956663533
370,-0.6896692605385764
371,-0.689325569834933
372,-0.6942534426179336
373,-0.6915395420850108
374,-0.692849136794512
375,-0.6957464556937162
376,-0.7004847049798634
377,-0.7019324607009624
378,-0.7036443899338387
379,-0.6993948302802294
380,-0.6973267410081847
381,-0.6978217194296512
382,-0.695507810888763
383,-0.6918737212321577
384,-0.6923881726700569
385,-0.6890160512575053
386,-0.6866723288224862
387,-0.6905973118431905
388,-0.6943429670242257
389,-0.6899117363582459
390,-0.69062630281188
391,-0.69199387161212
392,-0.6916117621382644
393,-0.6921667621317664
394,-0.6956051053033727
395,-0.6943930348664343
396,-0.6882166411487751
397,-0.6893606153673549
398,-0.6875339402886815
399,-0.6892886367065201
400,-0.6907570469170656
401,-0.6839199818104373
402,-0.6879931074543579
403,-0.6917745363256976
404,-0.6950684332674818
405,-0.7001763834309583
406,-0.6938951394556351
407,-0.6915923440890248
408,-0.6973283517503127
409,-0.6938847243963213
410,-0.6902910727908175
411,-0.6882529267309029
412,-0.6875474455608155
413,-0.6910076846283447
414,-0.6942629676180796
415,-0.6895945667804912
416,-0.6929026373446534
417,-0.6904688572077963
418,-0.6896275528870818
419,-0.692665702957391
420,-0.6929955360739454
421,-0.6948382291555377
422,-0.6928078084728649
423,-0.6939325913768437
424,-0.6922655779843131
425,-0.6896938143724534
426,-0.6904288643316467
427,-0.6889339913829478
428,-0.6958094739120158
429,-0.6963148865665065
430,-0.6940794271324405
431,-0.69132103809196
432,-0.6929353444066054
433,-0.6957194564116153
434,-0.6937523571218296
435,-0.6957625820248166
436,-0.6938570844805606
437,-0.6939403895674251
438,-0.6930313837136892
439,-0.6939636525393829
440,-0.6926403311523935
441,-0.6951054185992477
442,-0.6976969497380027
443,-0.694275300970202
444,-0.6927236208880467
445,-0.6968969812376061
446,-0.6993688027732794
447,-0.699357300668064
448,-0.6964119316472102
449,-0.6975389479766901
450,-0.6913562159383981
451,-0.6960599229112667
452,-0.7015209475932923
453,-0.7014603723035004
454,-0.7010900078173954
455,-0.7045646893109654
456,-0.6981678562180118
457,-0.7012908493451285
458,-0.7048211127556151
459,-0.7032860012911759
460,-0.7066976371703952
461,-0.7067336273313515
462,-0.6993782083712959
463,-0.7047069558752811
464,-0.7060086367356541
465,-0.7010249047247493
466,-0.7019426806902495
467,-0.7065569938113775
468,-0.7136996487202392
469,-0.7094249019360962
470,-0.7070755239282663
471,-0.7048759795016167
472,-0.7049683248968182
473,-0.7031954156901917
474,-0.7032471694498994
475,-0.7100794829262528
476,-0.7134482786708738
477,-0.7151494355042095
478,-0.7098792015382926
479,-0.703657313225856
480,-0.7040385609840332
481,-0.7083619884363601
482,-0.7089504547993613
483,-0.7075511284909654
484,-0.7077676242369528
485,-0.7088982604176555
486,-0.707791021161583
487,-0.7070499877407668
488,-0.7074248002540513
489,-0.7106968970320202
490,-0.7060460006221178
491,-0.7093229313261952
492,-0.7096417441157832
493,-0.7104308191805735
494,-0.7155951396458504
495,-0.7187893418613835
496,-0.7149470369571715
497,-0.7126717713815041
498,-0.7160455936155246
499,-0.718421539355734
500,-0.7214690309640863
501,-0.7210891599547222
502,-0.7170131772692393
503,-0.7212007792348692
504,-0.7222125442760344
505,-0.7240621261400916
506,-0.7262691929879318
507,-0.7230178369994709
508,-0.7211134758332436
509,-0.7202773650022388
510,-0.7244758599898652
511,-0.7292419022479427
512,-0.7336430561832331
513,-0.7296067905410808
514,-0.7270918069013098
515,-0.7288246354486894
516,-0.7285496380016356
517,-0.7271677055950359
518,-0.7270910401380165
519,-0.7325583334816269
520,-0.7326375287268573
521,-0.7271464261829103
522,-0.7287386231660874
523,-0.729332529310075
524,-0.7284255544613879
525,-0.7300627108558526
526,-0.7322392415085963
527,-0.7287661568072604
528,-0.7269016550440552
529,-0.7253968090544902
530,-0.7209155458367851
531,-0.7217354102909863
532,-0.7210345376824151
533,-0.7244022085030816
534,-0.7252161263264127
535,-0.7247467632012405
536,-0.7249947402338839
537,-0.7260961954759282
538,-0.7211560207183682
539,-0.7202413927222406
540,-0.7246495999056922
541,-0.7310716700541372
542,-0.7337160540996892
543,-0.7293338587132392
544,-0.7279056187186635
545,-0.7242389951743265
546,-0.7277358670517136
547,-0.7308195138962176
548,-0.7303300127188533
549,-0.7332690235998731
550,-0.7374127693685176
551,-0.738342855583283
552,-0.7302701478126336
553,-0.7303118599101399
554,-0.7259157946646002
555,-0.7251288087006772
556,-0.7250084025184752
557,-0.7232824011668386
558,-0.7249876389745219
559,-0.7295456617193913
560,-0.737450944759243
561,-0.7383495345616797
562,-0.733848993972994
563,-0.7319037028141768
564,-0.7305995111679002
565,-0.7313104263430389
566,-0.7346353321928248
567,-0.730682040920424
568,-0.7245865236203377
569,-0.7253414796965746
570,-0.7288949186466934
571,-0.7327868822559166
572,-0.733514635913748
573,-0.7281731683909372
574,-0.7316275091441367
575,-0.7295348744776863
576,-0.7216041061528227
577,-0.7204128398403683
578,-0.7242711727835874
579,-0.7253183387336394
580,-0.7281963909325264
581,-0.7317627533945952
582,-0.7319237550085339
583,-0.7273923185727933
584,-0.7264263287347668
585,-0.7234902929502564
