,d
0,-0.9259488520287692
1,-0.9306064229510511
2,-0.9330990099836632
3,-0.9281064046597457
4,-0.9302294762232145
5,-0.9312837775853962
6,-0.9315792611460135
7,-0.9331134622444841
8,-0.9333145348704124
9,-0.9277223127535479
10,-0.9358704663113133
11,-0.9305461980670934
12,-0.9228272739757316
13,-0.9260855810585966
14,-0.9251262700880143
15,-0.9253827893413632
16,-0.9276600685316136
17,-0.9300650578919376
18,-0.9269336851193757
19,-0.9221280983407119
20,-0.9282073922925336
21,-0.9246184052610636
22,-0.924318293975059
23,-0.9205439314745519
24,-0.9303849149247186
25,-0.9301567749168458
26,-0.9255603939691381
27,-0.9247716635364968
28,-0.9258508817160979
29,-0.9258735262366725
30,-0.9283448881750854
31,-0.9256522351718405
32,-0.925889039627638
33,-0.9213355582302515
34,-0.9211802612527569
35,-0.9266640060079177
36,-0.9314422066691576
37,-0.9257414402494565
38,-0.9280556349839292
39,-0.9280446794890272
40,-0.9265072155418043
41,-0.9220662352205838
42,-0.9255668537139196
43,-0.9268633930958152
44,-0.9288538549569181
45,-0.929620666810964
46,-0.9331025803010431
47,-0.9354394696439472
48,-0.9301078500968724
49,-0.9372631007073035
50,-0.9378546499004038
51,-0.9379038474072556
52,-0.9367079765090104
53,-0.935527165741169
54,-0.9295232497777639
55,-0.9274973427543575
56,-0.9301371750199271
57,-0.9303440647024444
58,-0.9304718180822701
59,-0.9310590831585452
60,-0.9276031800796591
61,-0.9303873467948641
62,-0.9323341016963493
63,-0.9303332858977991
64,-0.9248990896260705
65,-0.9217132681072031
66,-0.9245696527137345
67,-0.9233377294925349
68,-0.9218189831207527
69,-0.9222919703195741
70,-0.9171115840734096
71,-0.913369520842112
72,-0.9087755344476124
73,-0.9166793544104759
74,-0.9162887591708018
75,-0.9128383361877164
76,-0.9103317507290118
77,-0.9086379351473727
78,-0.9062940702997891
79,-0.9092680518023769
80,-0.9057624860286604
81,-0.9057655569867546
82,-0.9021185312529126
83,-0.8923230510759586
84,-0.8911262891836651
85,-0.8944759968278568
86,-0.8959648602805205
87,-0.9027351366716619
88,-0.903542097153676
89,-0.9013631989884459
90,-0.8914263939289668
91,-0.8869009934769584
92,-0.8868347735281461
93,-0.888763580437718
94,-0.8901396417918963
95,-0.8909015805274645
96,-0.8941932783301338
97,-0.8893716705155871
98,-0.8908330741675256
99,-0.88709389649483
100,-0.8903891799601873
101,-0.8889028506544345
102,-0.8870401151132099
103,-0.8931775538113584
104,-0.8900193842114735
105,-0.8879016231385791
106,-0.8937642160225067
107,-0.8923039550158118
108,-0.8916026068772076
109,-0.8945789140267546
110,-0.8853400859379591
111,-0.8865028593777164
112,-0.88276923629603
113,-0.8889717584210871
114,-0.8917124259682798
115,-0.8922018697400487
116,-0.8951192686889324
117,-0.8943537215451698
118,-0.8990076837148355
119,-0.9015072274674746
120,-0.9013198052662328
121,-0.9022143282136215
122,-0.8945369597327486
123,-0.8986643617835042
124,-0.9025580185823259
125,-0.9093974473620635
126,-0.9057514822025323
127,-0.9001006790360055
128,-0.9044972993104451
129,-0.9073134016764695
130,-0.9090826210986557
131,-0.9109820443748684
132,-0.90658449291861
133,-0.9055616887884281
134,-0.9097938299699665
135,-0.9163878778510762
136,-0.9139331040585316
137,-0.9072616056460165
138,-0.9119898336267478
139,-0.9155454207786595
140,-0.917124488494411
141,-0.9155811267267538
142,-0.916934502157553
143,-0.915307026459849
144,-0.9161486304039681
145,-0.9168370976015577
146,-0.9167077285695835
147,-0.9160627463625344
148,-0.9189250667098586
149,-0.9183675309551038
150,-0.9240148770562989
151,-0.9227963565464298
152,-0.9203632949612751
153,-0.9200577178696685
154,-0.9199772797583842
155,-0.9258229124126046
156,-0.9235874463234156
157,-0.9273219382779333
158,-0.9294170791787061
159,-0.9259673751286314
160,-0.9304049190118112
161,-0.9306139047522143
162,-0.9313491565806248
163,-0.9359821204769161
164,-0.9311681493091244
165,-0.9282205689011381
166,-0.9362005536043888
167,-0.9360996429659172
168,-0.9434311143480011
169,-0.9421290444202781
170,-0.941011771099912
171,-0.9364004491508667
172,-0.9363635974885449
173,-0.9394329902728893
174,-0.9446986844075708
175,-0.9444474570787716
176,-0.9428958516193611
177,-0.9446849016655358
178,-0.9452195165022068
179,-0.9457620242145602
180,-0.9530372426388304
181,-0.9518811617600799
182,-0.9506177691254929
183,-0.9515912644232756
184,-0.9540486543691095
185,-0.953675616527654
186,-0.9602261133822222
187,-0.9577680727720758
188,-0.9525004498882628
189,-0.9543643656420865
190,-0.9636668421932225
191,-0.9573617576454118
192,-0.9507234267910193
193,-0.9506779220942869
194,-0.954232595530828
195,-0.9578096325622409
