,d
0,-0.9909659915167387
1,-0.9928418483891269
2,-0.9917090783120927
3,-0.9896026533326506
4,-0.9885078928083981
5,-0.9865349913548961
6,-0.9879056114943212
7,-0.9869764548863128
8,-0.9861136263914417
9,-0.9872776690356452
10,-0.9875662354133558
11,-0.9890590969059577
12,-0.9890306563639659
13,-0.9864431378876798
14,-0.9852276225832599
15,-0.9876026873436032
16,-0.9866921841103168
17,-0.9851789016830024
18,-0.9851477187650879
19,-0.9822035641512809
20,-0.9840529081872333
21,-0.9866036160294777
22,-0.9864313732277683
23,-0.9877050223561344
24,-0.9881128877299532
25,-0.9884884789832947
26,-0.9879903165185504
27,-0.988816069166187
28,-0.9899990477737481
29,-0.989836525065795
30,-0.9920476591967422
31,-0.995813763828421
32,-0.9956226199549728
33,-0.9953415070537389
34,-0.9966210561824307
35,-0.9978985701308729
36,-0.9950542645940023
37,-0.9949191232944875
38,-0.9973135786091438
39,-0.9984730791330432
40,-0.9991129477532388
41,-1.0011931420847189
42,-1.0048322197124921
43,-1.0047775156776104
44,-1.006166432420698
45,-1.0072973183612393
46,-1.0101087519518608
47,-1.010299638257454
48,-1.0123998090376847
49,-1.014191445192625
50,-1.013715237552315
51,-1.0148253366151876
52,-1.0181004707821157
53,-1.019936899693338
54,-1.0207381900252233
55,-1.0197216970706764
56,-1.021840784874328
57,-1.0226795798668922
58,-1.0240443672038968
59,-1.0268685681284564
60,-1.0284770248928177
61,-1.0314990636440777
62,-1.0334922966013798
63,-1.0354708472312766
64,-1.0354487253073492
65,-1.0373587612220736
66,-1.0392553996750142
67,-1.0407107427273738
68,-1.0444744640680648
69,-1.0460220114302148
70,-1.0476883235614054
71,-1.0516987509850306
72,-1.0503021818004543
73,-1.05186861141081
74,-1.053106947585702
75,-1.054730580257518
76,-1.0542352105559345
77,-1.0554041989099088
78,-1.0565522734296986
79,-1.0559439994614126
80,-1.0560121110327323
81,-1.0597232519545423
82,-1.0605942164658035
83,-1.0596869963786602
84,-1.0602172612334373
85,-1.0621951534663834
86,-1.0622483949688708
87,-1.0634451867287045
88,-1.0610765167659626
89,-1.063804989135611
90,-1.069242707006012
91,-1.071387851385274
92,-1.0684201375490259
93,-1.0679059834908753
94,-1.0725270193392624
95,-1.0760618868829228
96,-1.0764882992882645
97,-1.0784336405166968
98,-1.0817251723337307
99,-1.0815807439756429
100,-1.0842405868363785
101,-1.086097583768456
102,-1.0849448697385016
103,-1.0841470213630884
104,-1.0836444201341389
105,-1.0837784294033241
106,-1.0852828169143274
107,-1.0875133620069566
108,-1.0890749079930344
109,-1.0898102565248557
110,-1.0906033257257581
111,-1.0902175623494672
112,-1.0940645290975082
113,-1.0950100556461906
114,-1.0930704580431425
115,-1.0935043340086246
116,-1.09439130309902
