,d
0,-0.8690252657421406
1,-0.868307332517894
2,-0.8698051451347342
3,-0.8737289646299143
4,-0.8700125180039384
5,-0.8716063178203791
6,-0.8723678989969168
7,-0.874614880116218
8,-0.8736490860188295
9,-0.874042056366235
10,-0.8683310769852424
11,-0.8672266226459272
12,-0.8689979163002909
13,-0.8681527736875784
14,-0.8674867984702757
15,-0.8632864802513742
16,-0.8633235191342603
17,-0.8622866106444459
18,-0.8627677374160395
19,-0.8683244808215504
20,-0.8716076280343521
21,-0.8755997938564711
22,-0.8712528285665211
23,-0.871617682157439
24,-0.8741741786601959
25,-0.8667902563256369
26,-0.8653556625292984
27,-0.8698558342266444
28,-0.8674175710065685
29,-0.8702409062511475
30,-0.8691948525805219
31,-0.8636237200744024
32,-0.8669310141463659
33,-0.8663306528068693
34,-0.8608082133343393
35,-0.8624334312589012
36,-0.8692566148890238
37,-0.8672701753532108
38,-0.8591688399427272
39,-0.8607036251494712
40,-0.8632072440628827
41,-0.8621866079704703
42,-0.8578651347107649
43,-0.8571771086715109
44,-0.8574844798316663
45,-0.8539545825889365
46,-0.8490373924905013
47,-0.8489151473571994
48,-0.8514522255217287
49,-0.8604805563263135
50,-0.8604866184401884
51,-0.8543422145817268
52,-0.8492682906467373
53,-0.8491637560839037
54,-0.8511474734440669
55,-0.851576998070587
56,-0.8469542671739931
57,-0.8464334510909504
58,-0.8462581897489692
59,-0.8461716648355826
60,-0.8471104005362206
61,-0.8451423921055058
62,-0.8390984630063961
63,-0.8394631788558556
64,-0.8460634143656752
65,-0.8412095885893356
66,-0.8355737251854521
67,-0.8383288901649437
68,-0.8361172448427517
69,-0.8317445439967572
70,-0.8327737359178153
71,-0.8315123684633579
72,-0.8341710783955374
73,-0.8373101304529086
74,-0.8350095779266663
75,-0.8285550714916504
76,-0.8254058069515221
77,-0.8218277945940954
78,-0.8253465854753836
79,-0.823289378472601
80,-0.8241578045930781
81,-0.8219117376242862
82,-0.8175074463842762
83,-0.8163721797237549
84,-0.819906872258943
85,-0.8179975136867217
86,-0.8116455201370192
87,-0.8159736130398286
88,-0.8139483891229318
89,-0.81276972875218
90,-0.8168724056072442
91,-0.8179567216286613
92,-0.8184637589191287
93,-0.8167514448855695
94,-0.817685937439771
95,-0.8092798046026377
96,-0.8085297219687366
97,-0.812151957488002
98,-0.8097052079089043
99,-0.8061193689792251
100,-0.8077800060151582
101,-0.8058443505663394
102,-0.8024416753339892
103,-0.8070192063477749
104,-0.8033678661740604
105,-0.8030409986164474
106,-0.8037836667268242
107,-0.8052369922206823
108,-0.8033057914460494
109,-0.8002230959612495
110,-0.8023105971620809
111,-0.8051679972352825
112,-0.7990975970915017
113,-0.7947188544890934
114,-0.7964507458339742
115,-0.7936365167755509
116,-0.7973114243817508
117,-0.7985666649792559
118,-0.7990260151202169
119,-0.7987398402911705
120,-0.7959684442164302
121,-0.7960754877296675
122,-0.7922622915300204
123,-0.7889011259050367
124,-0.7937575096051505
125,-0.7954599459127539
126,-0.7966948928413423
127,-0.7940460220650823
128,-0.794648950382532
129,-0.7947988530249728
130,-0.7928746367462086
131,-0.7925322369552372
132,-0.792528531603282
133,-0.7909808530502711
134,-0.7884261117388803
135,-0.7929271195972151
136,-0.7917009169028226
137,-0.7878448329643504
138,-0.7914786276599788
139,-0.7880810694826754
140,-0.791612955132835
141,-0.7883043632473158
142,-0.7898027657420831
143,-0.7868022824265042
144,-0.7878939345273414
145,-0.7904859365220811
146,-0.7871020030027055
147,-0.7855242968008057
148,-0.7912188944481078
149,-0.7888018180846043
150,-0.7874440541150516
151,-0.7911717157650532
152,-0.7903400666584686
153,-0.7866447983955721
154,-0.7868593977061549
155,-0.7866495397812179
156,-0.7812080251250337
157,-0.7788796437315069
158,-0.7798896358128469
159,-0.7793878932556786
160,-0.7760975033521993
161,-0.7820958450742471
162,-0.789950712654995
163,-0.7852490569225283
164,-0.7856890550100715
165,-0.784745336523736
166,-0.785497083647044
167,-0.7867636117949774
168,-0.7883750795621507
169,-0.7842407243018085
170,-0.7828454003642888
171,-0.7808701971725661
172,-0.7866624727273903
173,-0.7878208627486111
174,-0.7852484632085738
175,-0.7841910460617206
176,-0.7895529577420102
177,-0.7895477415288825
178,-0.7878583604296396
179,-0.7887020622536798
180,-0.7895087314860921
181,-0.7885404291794793
182,-0.7842109609204955
183,-0.7837603122187407
184,-0.7872424170513601
185,-0.7874814406339106
186,-0.7842243124281503
187,-0.781776837085095
188,-0.7797318753639136
189,-0.7853762438627799
190,-0.7836196400208199
191,-0.7848308301617606
192,-0.7874671203205604
193,-0.7854283386949585
194,-0.7813268424753005
195,-0.7794525596511385
196,-0.7780620482410308
197,-0.7800297958694332
198,-0.7774980920242173
199,-0.7811368109044541
200,-0.7825257538152546
201,-0.7815913783762666
202,-0.7774452046293855
203,-0.774134933689596
204,-0.7767405765424577
205,-0.7764475366210459
206,-0.7766345924297935
207,-0.7785535973269606
208,-0.7798742901250008
209,-0.7805735900307009
210,-0.7750074790575245
211,-0.7734950654459628
212,-0.7793854453435034
213,-0.7847483726919195
214,-0.7838197880855815
215,-0.7773296931622075
216,-0.7771955338042869
217,-0.7837380691093893
218,-0.7790843217036898
219,-0.7825187598425437
220,-0.7843131618555524
221,-0.7856941831462779
222,-0.780830810992449
223,-0.7785884580896218
224,-0.7767135200688906
225,-0.7793926353343075
226,-0.7816869799509408
227,-0.7771389596578825
228,-0.7818557300385893
229,-0.7827655447958434
230,-0.786776378061494
231,-0.7819876901604608
232,-0.784198737947688
233,-0.7806516428067559
234,-0.7830598229862565
235,-0.7800053088925443
236,-0.7812192104778548
237,-0.7788774568728253
238,-0.7783560217584498
239,-0.784119824904817
240,-0.7855780672342845
241,-0.7832124403174645
242,-0.7848916686847012
243,-0.7832572222900017
244,-0.7793244989467265
245,-0.7728005664688561
246,-0.7797401953760453
247,-0.7791157669632424
248,-0.7856354152579527
249,-0.7836081747256419
250,-0.7828549726307387
251,-0.7799798403364724
252,-0.7768218890966252
253,-0.7778859715306183
254,-0.7812867885972624
255,-0.7783737078593113
256,-0.7807494630228147
257,-0.7838591590351645
258,-0.783594672888563
259,-0.7830918428211164
260,-0.7777736563158941
261,-0.7812057289744186
262,-0.7805073972877433
263,-0.7758063772828778
264,-0.7790376093088023
265,-0.7836477731108443
266,-0.7867714948992192
267,-0.7886199811881321
268,-0.7850283573520238
269,-0.7824677146070588
270,-0.7861674467804195
271,-0.7829129189092469
272,-0.7868000259390797
273,-0.7867528139640715
274,-0.7854992409191806
275,-0.7904496725558979
276,-0.7913726453658625
277,-0.7871899147878239
278,-0.7803522389637261
279,-0.7846328101421084
280,-0.7775392651004496
281,-0.77746199954638
282,-0.7820004887519961
283,-0.7838818765275422
284,-0.7839627228899351
285,-0.7841630720611605
286,-0.7854626089581656
287,-0.7824870495150027
288,-0.7858736238558289
289,-0.7851540987984308
290,-0.7844539637820082
291,-0.7881518365530356
292,-0.7886255561834227
293,-0.7843368235080663
294,-0.7870304407031642
295,-0.7853690033864206
296,-0.7813131641764088
297,-0.7847375941723997
298,-0.7877306677843205
299,-0.791240948058685
300,-0.7892197811098447
301,-0.7926814347651401
302,-0.791975611435823
303,-0.7840938732964837
304,-0.7819816856763386
305,-0.7826186971326365
306,-0.7811189085344192
307,-0.7827632777400988
308,-0.7804874260768433
309,-0.781460558292226
310,-0.7836879688383653
311,-0.7820832578422612
312,-0.7800388920799469
313,-0.7812188525562456
314,-0.7838356408657878
315,-0.7871627856234257
316,-0.7946176486698892
317,-0.7948253773794491
318,-0.7894970945966756
